Q	V	A	T	G
750	330	3		8.1
740	620	3	109	8.5
800	370	2.5		8.16
790	460	3	92	7.6
680	450	3		7
		6		
750	310	2.5		6.9
770	500	4		7.8
800	580		111	9.04
770	435	4	108	6.5
630	420	3	81	
800	590	3.5	112	9.62
740	600	2.5		7
730	360	3	100	
690	480	3.5	90	5.8
				6.5
800	480	4		9.49
790	650	3.5	101	8.75
780	600		102	8.022
780	390	3.5	100	8.6
800	800	6		
740	560			7.5
780	360	3		8.1
				
750	465	3	96	8
770	550	3	75	
				7.9
				6.5
620	430	2.5	101	5.82
730	650	4.5	114	6.2
740	540	3	95	8.3
730	410	3.5		
780	520	3.5	114	7.6
720	310	2.5	92	8.12
600	550	3		7
770	360	3.5		7.5
650	420			
740	600	3.5	103	6.9
800	550	3.5	106	7.238
				
800	580	3.5	102	
800	540	3.5	100	6.7
750	630	3	114	8.005
			81	
760	250	2		
800	590	3	102	8.23
700	600	4	118	8.99
730	470	4		8.7
800	610			8.1
750	500	2.5	78	7.218
800	530	3	96	6.5
800	640	4	109	9.4
730	480	2.5	94	6.02
680	530	4	106	
800	540	3.5		8.28
780	660	4	119	8.7
				6.497
710	290	3		
710	320	3	90	6.5
790	260	3.5	98	7.6
670	600	4		
				
730	350	3	91	6.8
690	320			7.6
710	610	3.5		7.5
			107	
				8.3
				
760	360	3.5	97	7.1
780	280	2.5		6.5
720	360	2.5		6.256
				
700	240	2.5	84	7
	370	3	99	6.66
740	580	3	91	6.7
690	350	3	80	6.6
760	340	3	95	
			96	
800	620	4	102	7.75
780	660	4	106	8.3
590	570			
				
780	610	4	108	6
740	500	3		
800	670	3.5	105	9.4
800	440	4	102	7.725
800	600			7.4
800	580	3	92	
800	400			
				
				
800	560	3		6.2
750	430		106	7.2
760	400	3		6.5
670	500	3.5	99	6.7
800	490		105	6.46
800	520	3	111	7.315
800	550	4.5	106	8.65
670	270	3	76	8.2
800	700	4		6.4
800	230	2	55	6.4
700	570	3.5	107	5.8
760	390	3.5	96	6
700	350	2.5		7.8
760	560	5.5	104	7.05
800	560	3	104	6.7
800	465	3.5		8.3
790	635	4	116	9.35
700	430			8.24
760	500	4.5		
760	500	4.5		7
650	260	2		
				
800	550			8.5
790	620	3.5		8.52
800	570	3.5	100	
720	290	3	82	6.766
800	430	3	99	
800	650	3	102	9.75
650	400	2.5	91	6.67
690	550	3		6.433
540	720	3	109	
770	330	3	90	8.6
680	300	2.5	95	6.8
				
720	550	2.5	95	6.9
680	240			
730	610	3.5	102	7.5
800	670	3.5	115	8.6
710	290	3	92	
750	420	3		8
750	320	3	106	7.6
800	740	4	112	9.05
				7.164
730	280	2		6.85
650	330	3		
680	240	3	86	
770	560	4.5		7.01
770	340	3	98	8.35
	560			9.34
780	435	3.5	93	7.5
790	650	5		8
700	580	3		8
790	550	3.5	115	8.47
790	450	3	95	7.67
770	520	2.5	102	7.1
800	620	4	106	6.5
770	540	3.5	108	8.6
680	320		92	7.8
700	640	2.5	103	7.49
				
790	520	4		8.63
650	320	3		
750	490			
320	730		86	6.2
670	460	3		7
800	510	3	95	6
400	710		91	
720	560	4.5	105	6.5
690	370	4.5		7
				7.4
800	350	2.5	89	7
790	430	3	106	7.3
760	395	3	100	7.7
				
750	450			7.6
				
	390	2.5	82	7.6
800	660	4	113	8.2
750	530	4.5	108	6.97
780	580			8
800	580	3.5		6.5
				7.19
790	650			8.1
800	620	3	104	7.2
800	600	4	114	8.9
800	410	3.5	105	8.01
780	520			7.9
730	360	3	94	6.297
750	340			8.92
800	630			8.77
				
750	400			
			93	6.6
720	280	4		7
750	600		101	
790	540			8.5
750	350		106	7.6
710	530	3		5.9
780	380	2.5	96	8
760	520			7.32
800	520	3		
730	470	3		8.4
730	470	3		8.4
				7.35
790	550	3	103	7.184
800	700	4.5	110	8.2
800	480	4	109	9.04
730	580	3	87	7.22
800	580	3	104	8.57
800	650	3.5	107	7.6
780	350			7.6
720	540	3.5	107	7.172
690	360	2.5		
730	400	3		8.1
770	590			7.542
800	690		115	
670	580	3		
730	440	3	82	
				8.03
690	600			6.8
				
670	390			6.1
				
800	550	3.5	91	7.3
760	630	3		7.7
790	520	3	96	8.7
800	580			6.8
750	650	3.5	110	9.1
780	680	3		7.1
				7.6
730	290	2	82	9
705	530	3.5	112	8.19
780	300	2.5	83	
760	610			8.6
740	545	2.5	86	7.1
				
				
700	400			7.2
			79	
770	590	3.5	110	6.4
770	650	4	109	6.857
750	420	4		8.83
				
800	570	3	116	8.2
780	580		110	9.07
760	350	2.5		
800	610	3.5	112	7.1
780	340	3	87	6.9
720	280	2.5	71	8
790	500	3	105	8.4
660	330			6.8
770	290	2	105	6.1
790	550	3.5	106	5.8
770	650	3	98	
				
790	580	3	105	6.86
800	630	3	117	7.6
750	430			6.996
670	270	2.5		7.23
590	320	3		5.689
800	790	5.5	120	9.5
590	470		85	6.026
750	580	3.5	113	7.932
750	440	3.5	101	6.9
710	590	3	107	8
780	290	3	94	9.28
500	300	3	80	10
800	620	4.5	114	8.31
770	510	2.5		8.5
790	470	3	96	7.8
800	640	3.5	110	6.1
740	490	3.5	100	8.14
720	560	3		7.3
				
720	530	4	104	7.2
740	250	2	98	
790	310			8.2
610	340			7.6
760	500	3	86	7.4
720	395	3.5	101	6.369
800	480	3	102	7.2
780	250		90	
770	515	4		6
710	490	3	106	7.89
620	390	3	90	
720	530	2.5	99	7.6
750	540	2.5	82	7.22
				
				9
470	700	3		
740	670	3	110	5.89
800	430	4		6.9
740	500			8
800	380	3.5		7.1
760	700	4.5	113	6.74
				7.1
790	550	3.5	85	6.8
705	380	3.5	90	5.7
780	620	4	115	8.625
730	470	3		7.525
730	330	2.5		7.8
760	500	3	110	7.3
640	280			7
			78	7.5
800	310	3	95	6.43
760	450	3.5	104	7.6
750	500	3.5		8.5
800	650	4		8.68
700	490			8
730	720			8.65
780	550	4.5	106	9
770	380	3.5	91	6
800	530	4.5	113	6.1
730	590	3.5	108	7.2
720	435	4	108	9.67
760	510	2.5		
710	400	3		
720	570	4.5	113	6.1
800	670	4	110	8.7
790	560	3	110	8.01
800	640	3.5		8
800	530	4	109	8.97
790	630	3		7
780	630	3	100	7.26
750	290	3	96	7.849
760	560	4	118	7.3
680	300			
730	490	3	94	7.7
705	435	3.5	110	7.8
760	640	4	112	6
700	500		100	7.7
750	360	3	84	7.4
750	540	3	95	8.09
800	490	3	92	7.26
770	600	3.5	104	7
800	310	3		8.76
800	580	3.5	107	5.8
800	500	3		8.2
670	280	3	86	6.6
760	300	3	95	9.85
				7.02
				
800	660	4.5	109	8.37
790	530	3		9.14
800	500	4	109	9.49
690	350	3	95	6.8
690	460	4.5	109	5.72
710	310	4	91	
750	360			7.37
680	510	4		
790	690			6.4
800	500	4	108	8.66
780	510	3		8.2
800	580	4	117	7.3
740	510	3	84	7
770	500	3.5	104	9.43
780	490	3	102	6.7
680	610	3		7.2
				7.7
770	340	3	90	
780	580	3	110	6.716
770	370	3		6.5
750	310	2		8.33
800	330	3.5	98	7.726
				
800	630	3.5		6.68
800	640	4.5	111	6.842
800	620	4.5		9.57
790	320	4		7.5
770	435	3.5		8.3
800	660	4	116	8.93
720	230	3.5		7.32
640	410	3	94	7.3
730	540	4	99	
				
710	310	2	85	
750	435	3.5	98	9.01
	360	3	95	
				
690	430	3		6.994
		5.5		8
700	320	3	89	
590	240	2.5		
750	350	3.5		
800	660	3.5		9.17
800	670	4.5	115	6.989
720	580	3		8.3
			94	
800	520	3.5	104	6.6
800	680	4.5	111	6.023
800	680	4	111	8.94
780	500	3	105	7.15
730		3.5	96	8
740	460	2.5	82	
780	480	3		
				7.8
740	310	3.5		
790	410	3.5		8.55
750	410	2.5	90	5.7
				
740	485	3.5	102	5.8
800	430	4	106	8.08
540	350	3	90	5.8
800	400	3.5	96	9
750	600	3.5	107	6.272
650	400	3	86	8.75
				
750	530		93	7.52
				
740	510	4.5	110	7.228
				
				
740	470	3	103	6.2
800	430	3.5	99	6.27
730	400	3	104	7.585
				
720	340	3	85	5.7
800	340	3	100	7.3
800	510		102	7.1
770	465	4.5	108	6.7
640	540	4	101	7.3
780	470			8.22
770	630	3		
790	360	2.5		7.1
800	600	3.5	110	8.64
				
750	500		80	7
700	510	2.5		6.6
790	680	4	105	7.5
680	330	2	83	7.024
750	290	2	82	
790	550	4.5	100	7.91
770	580			7.79
740	600	3.5	117	7.67
740	680	4		6.7
770	515	3.5	111	7.7
710	310	3	87	7.48
780	510	3.5	111	9.53
760	440	3.5	99	6.5
770	410	4	105	9.29
790	620	3	104	7.89
800	430	3.1	103	8.58
770	465	4	110	9.41
720	660	3.5		6
				8.45
				7.37
700	600	3.5	110	6.2
650	510	3	95	6.7
800	650			8.53
710	330			7.92
720	320	3		8.7
790	660	4.5	118	7
760	470	4.5	97	7
800	670	3	78	
790	530	3	88	8.2
				
		4		
740	550	3.5	104	6.723
800	430	3.5	110	7.8
780	560	5	112	8.98
650	490	3		8.5
750	530	3	108	8.32
790	610	4.5	105	9.25
800	540	3		6.1
				7
800	470	3		9.1
780	550	4	103	7.3
800	435	3.5	102	8.32
740	560	4	100	7.2
800	430	3.5	90	7.453
730	280	2.5		7.211
				8.075
800	590	4	107	7.3
800	640	4	110	8.5
740	610	4	101	7.9
	310	2.5	80	6.985
790	530	4	112	9.19
				7
760	440	3.5		7
700	300			7.2
720	370			6.52
660	540	3.5	95	6.9
770	485	4.5	109	5.8
800	515	4.5	108	7.67
760	600	3.5		6.4
				
780	400		87	7.2
	480	3	89	
770	540	3		7.7
780	580	3	104	8.44
760	420	3.5	84	7.502
730	600	3	80	9.03
800	620	3.5	111	7.6
800	500	3		8.3
800	430	4	110	6.9
				
800	560	3	100	7.431
720	580	4	107	6.6
660	430	2.5	90	
800	730	4.5		8.77
750	370	3.5	99	8.85
760	340	2.5	103	7
790	580	3	102	8.67
800	560	3	96	8.4
700	650	2.5	81	6.02
650	330	3		7.4
				6.2
780	560	4	109	6.55
				9
644	320	3	87	5.7
				8.6
700	800	4.5	112	7.2
780	480		107	7.4
800	440	3.5		
720	590	4	101	6.94
750	550	2.5		6.2
				
770	465	4.5	108	7.26
740	370		93	6.666
740	300	2		7
770	600	3		
700	240	2.5		6.634
800	450	4	107	7.034
				7.3
800	580	3.5	96	7.44
800	410	3	96	7.7
790	500	3	97	8.322
				
800	320	5	100	7
				
770	620	3		8.2
				
710	320	3.5	86	6.8
680	390	3		6.1
				8.5
800	545	4	110	6.7
				
				7.89
700	450	2.5		
800	690	5.5	115	6.5
580	570			7.5
				
720	310	2	90	6
690	340	3		
730	435	3.5	94	7.26
800	350	3	90	7.8
800	480	3	98	6.43
			98	8.46
800	640	3.5	100	7.5
				8.07
780	330	3	94	
730	480	3		
770	360	3.5	101	7.77
800	750	5.5	115	8.6
				9.48
760	270	3		7.013
560	530	2	83	8.6
800	580		103	7.8
800	670	4		8.13
800	510	3.5		9.66
750	580	2.5		6.8
800	540	3	104	6.8
800	610	4		8.3
780	380	3	104	
				6.3
				
				
770	435	3	95	6.515
760	440	3		6.7
710	390	3	92	5.9
700	440	3	97	7.1
710	530	3	104	7.2
730	540	2.5	84	6.1
740	320	2		7.51
800	540	3	101	6.8
740	420	3	96	7.04
750	400	2.5		6.5
760	395	3		7
800	510	4.5	115	6.8
780	485		103	7.76
740	500			7.1
800	640		107	8.45
710	300	3	89	6.7
				
750	500	3		8.8
780	680	3		7.1
740	465	4	110	8.1
720	410	3		6.5
680	360	3	92	7.157
				8
			82	
750	390	3.5		8.79
780	515	4	109	9.54
760	540	2.5		7
760	510	3	83	8.555
800	450			7.56
750	550	2.5	104	7.5
800	400	4	104	6.8
730	620		108	
700	510			8.5
770	605	4		6.77
770	450	4		6.207
690	530	2.5		8.1
690	530	2.5	104	8.1
790	670	4	116	7.6
				
740	540	4	111	6.9
780	395	3	89	6.8
780	640	4	108	8.79
			104	
690	540	3	106	7.4
760	515	3	107	6.7
780	630	3.5	108	7.17
750	560			6.8
800	460	3.5		7.212
				
690	320	2.5	81	8.75
750	630	3.5	105	8.4
				
740	530	3		7.9
800	530	3.5	108	9.12
760	740	4		6.5
760	420	3.5	97	5.7
750	540	2.5	82	7.22
780	420	3	95	6.5
780	600	4		7.3
650	530	3	104	5.3
800	570	3	109	6.624
				7.5
760	610	4	107	
790	530	3	97	
	540	3	93	
670	310	3	102	7.6
644	435			6.34
800	490	3	100	8.3
				8.62
780	590	4	104	7.4
720	440	3		8.45
740	640	3	87	6.6
				8.04
730	380	4	95	7.292
750	350			7.5
770	630	3.5	110	
620	430	3		
660		3	91	6.8
790	560	4		8.2
790	710	4.5		6.7
				8.2
800	510	4	100	5.738
680	570	3	97	6.4
380	760	3		7.16
780	590	4	115	9.3
790	530	3		6.736
680	590	3	104	6.9
750	340	3		7.2
770	515		112	
720	420	3	103	7.61
760	500	4	90	7.8
790	450	4	108	7.345
705	370	3.5	92	8.12
				
				6.627
800	590	3	105	8.2
790	370	3		
770	320	2.5		8.63
740	310	3	96	7.87
760	600	5		8.71
740	700	3.5		7.3
750	545	4	106	7.3
800	730	4	120	8.2
800	545	3.5		8.81
740	465	3.5	98	7.3
770	465	4	98	7.08
770	620	3	101	8.2
800	640	3	106	8.11
680	300	2.5	72	6.322
790	600	3		6
				
660	320	3	96	6
690	510	3.5		
750	610	3		6.844
790	620	3	108	8.67
720	410	3		6
800	650	3.5	116	8.4
800	725	3.5	109	7.3
790	510	4.5		9.14
540	270	3		5.4
770	590	3.5	103	6.8
790	600	3.5	100	7.7
				
800	350	3		7.53
800	680	5.5	110	
800	450	4	102	8.8
780	700	3.5	104	7.83
720	520	3.1		7.2
790	610	2.5	105	9.26
770	570	3		
800	465	3.5	107	7.9
760	310	3.5		7
800	660		107	8.45
800	665	5	119	8.5
800	620	4	106	8.27
730	510	3	104	9.24
				
800	550	3.5		8.783
750	640	2.5	99	7.3
705	465	3	105	5.5
770	500	4	111	8.37
770	485	4	110	8
760	500	3.5	112	6.7
800	550	3		8.2
740	575	4	112	7.32
790	490	3	98	7.237
				
770	635	4	110	6.295
750	380	4	106	
800	465	3.5	113	7.13
690	465	4		8.55
750	380	4	106	
790	440	3.5		8.6
800	500	4.5	110	8.2
800	770	4.5	119	8.65
770	340			
760	340	2		5.8
720	360	3		
790	465	3.5	105	7.62
800	670	4.5	115	8.64
670	390			6.3
740	560	3.5	104	
700	350	3	94	6.4
				7.404
800	470	3	99	6.7
800	450	4	95	7
				5.3
770	540	3.5	98	7.7
740	430	4.5	97	7.1
760	640	3.5	107	6.86
710	300	3	85	
730	510	3		7.6
770	465	4	105	6.88
800	540	4	106	6.7
800	560	3.5	108	5.8
800	770	5.5		6.5
790	510	3		6.5
740	300	4	93	6.64
800	470	3.5	100	5.338
770	640	4	117	5.3
770	635	4	114	9.23
780	400	4	105	6.5
800	460	3.5	109	7.217
				7.2
790	545	4	111	6.74
				
800	215	3	63	6
800	580	3.5	110	
790	320	3	90	7.6
770	370	3		7.42
780	660	3.5	101	6.6
800	650	3	101	8
590	270	3		7.62
800	610	3		8.43
760	520	3		7.8
670	360	3.5	97	7.4
780	300	2.5		7.75
790	720	4		6.47
750	450	3	96	7.5
				8.76
				6.7
770	450	3.5	94	8.3
760	450	4	100	9.775
				5.95
790	610	4	90	8.49
770	660	4	111	8.93
730	540	4	106	8.52
780	500	3.5	97	7.7
				
790	550	3	103	8.78
760	435	3.5	100	7.17
710	640	3	113	7.3
				
				
740	500	3.5	111	7.5
				7.3
				7.9
730	480	4	114	6.487
790	350		85	7.13
730	550	3	106	7.56
720	530	4	113	
770	590	3	101	7.4
750	410	3.5		6.7
750	350		99	
665	515	3	92	8
				
780	640	4	113	6.9
790	575	3.5	106	7.96
800	465	3.5	95	7.6
800	620	5.5	109	9.8
790	550	3	111	8.774
780	460	2.5		7.9
			90	
				7.2
780	500	3	95	7.4
				
800	560	3	100	8.342
770	500	4	110	9
770	470	3	92	7.2
770	650	4	109	8.22
				7.6
				7.5
730	510	4		7.2
750	410	3	82	6.33
700	300	2.5	80	
				
790	560	3		6.4
760	485	3.5	108	7.6
760	600	2.5	102	
670	730	4.5	115	6
750	600	4	109	6.89
800	440	3	98	
690	490	4	109	6.8
780	610	3.5	112	8.44
750	500	3	97	6.3
				6.4
				
800	620	4	114	7.24
				7.9
750	590	4	103	8.11
				
				
760	465	4.5	110	6.3
800	510	3.5	104	8.2
740	400			8.062
780	650	3.5	115	7.46
800	570	4.5	117	7.84
660	310	3	89	
				7.31
800	590	3	110	7.97
				
690	560	4		8
720	300	3.5	92	6.6
				8.69
800	690	3.5	119	7.1
730	610	3.5	102	7.6
555	300	3		6.9
750	450	4	96	6
				
			84	
770	390	4		7
615	420	3.5	98	7.88
710	340	3	87	6.86
700	440	3	99	7.013
790	430	3	106	7.3
800	630	3.5	96	7.655
800	530		104	6.2
760	570	4	108	6.8
750	510	3		
				
	460	2.5		
760	500	3.5	100	6.1
750	470	3	91	7.98
750	410	4.5		6.717
720	570	3.5	116	7.804
670	440	3	98	5.978
790	580	3.5	114	7.57
800	465	3.5	105	8
800	570	4	110	7.6
740	560	3		7.9
660	550	4.5		6.6
720	450	3	98	8.99
750	410	3.5	99	
			100	7.122
				7.22
800	630	3	110	7.65
790	550	3.5		
800	690	3.5		
700	470			7.4
				7.1
750	485	3	105	7.4
				7.4
780	370	3.5	107	5.92
770	360	3.5	111	7.9
				
730	510	3		7.613
750	250			6.2
				
720	590	3.5	108	9
770	600	3		6.5
750		3		8.137
				
				
780	530	3		7.9
710	540	3	102	7.5
790	610		105	8.024
680	440	3.5	99	5.52
640	580			
				8.4
680	380	3	90	7.32
760	640	3.5	111	7.39
680	310	2.5	82	6.4
700	500			7.7
730	520	3	106	8.1
800	540	3.5	103	8.3
800	700	4		9.28
780	510	3	103	6.12
				8
760	710	3.5	100	6.13
750	370	3.5	90	8.29
				8.5
740	510	3.5	108	
790	530	3.5		8.33
730	540	4		7.46
730	360	2.5	107	5.62
720	395	3	104	8.15
750	500	3	86	7.8
750	320	3	95	6.8
650	480	3	86	6.42
800	610	4	111	8.3
770	440	3	97	5.93
790	580	3	106	6.8
				
800	575	4	111	9.56
710	230	3		
780	485	3.5	98	7.2
			87	7.4
			87	7.4
760	435		101	7.7
760	630	3	101	9.875
705	395	3.5		7.05
740	500	3	93	7.6
770	430	3	93	6.6
				6.5
800	380	3	98	6.332
750	420	2.5	95	8.34
790	435	3	110	9.03
				
750	420			
770	400	3.5	100	7.5
760	450	3	100	8
750	500	3	99	7.8
680	600	3.5	88	7.43
780	420		97	7.4
800	540	3.5	103	8.3
780	590	4	104	6.215
790	480	4.5		6.595
720	395	3.5	90	5.8
780	410	3	105	8.4
800	590	4.5	113	6.028
	580		105	7.53
780	430	3	100	
800	660	4.5	112	6.5
				
670	320	3		6.5
780	680	5	116	7.15
740	360	3	110	5.5
700	320	2		7.72
				7
770	590	4	114	6
800	450			7.9
750	310	3		8.44
750	500	4	111	5.933
800	600	4	105	8.7
790	430	2.5	107	7.32
690	550	2.5	86	5.78
800	780	5	118	8
780	430	3	100	9.675
720	570			7.804
800	435	4	110	9.95
800	580	5		8.2
790	420	3.5	93	7.2
				
770	380	3.5	102	7.82
780	620	3	104	7.3
800	550	4	105	6.35
720	590	3		7.044
790	420	3.5		6.47
660	380	3	91	6.4
				8.02
720	420	3		8.27
740	620	5	114	7.9
800	370	3	102	6.5
750	280			8.3
770	380	3	104	7.1
				
720	510	3		
800	410	3.5	91	6.3
	490	3	98	
720	480			6.3
710	290	2.5		
650	370	3	90	
800	510	3		7.8
770	270	2.5		8.15
800	470	5	111	8.2
700	310	2.5	83	
750	620			5.8
800	410	3		6.5
800	670	4	115	8.13
790	460			8.23
780	590	3	97	8.2
800	410	3		6
760	590	4	105	9.4
800	640	4.5	114	7.1
790	430	3	106	7.3
				
			94	
790	570	4	103	6.6
730	350	3		6.8
750	540			7.45
770	590	4	115	7.9
				7.1
			95	
650	610	3.5	91	
800	580	3	86	6.8
770	410	2.5	89	6.8
				
				8.63
760	290	3		6.85
				
800	560	4.5	115	
730	380	3	101	6.8
660	490	3	99	7
800	580	4	107	7.814
800	730	4.5	108	6.7
790	530	4	107	8.492
740	560	3.5	104	8.8
730	330		95	7
800	620	4	107	8.56
				
720	520	3.5	104	
800	600	3.5	103	7.916
720	420	3	93	7.073
760	550	4.5	112	6.7
				8.2
800	620	3.5		7.13
740	610	3.5	92	7.058
570	550	3	95	
790	515	4.5		
				
800	580	3	113	7.1
710	300	4.5	90	7.4
790	340	3.5	98	7.8
730	530		105	7.9
				6.4
760	530	3	97	7
			105	6.8
770	590	3	102	8.1
750	680			9.82
790	710	2.5	114	7.58
				
610	330	2	87	
		4.5	105	7.05
730	230	4		
720	300	2.5		6.9
700	360	2.5	81	
800	630	4.5	111	6.9
780	560	3	98	7.99
740	310	2.5	88	6.7
800	640	3.5		6.75
790	465	3.5	104	7.78
				6.8
800	690	4.5	101	6.3
800	605			7.35
800	650	4	116	8.07
				
800	560	3	98	9.34
760	490	2.5	90	
	550	5		7.4
800	500	3	110	6.7
800	610	3.5	108	7.5
770	310	3	100	7.3
				7
730	580	4.5	112	7.04
800	720	4	116	9.25
780	450	4	96	8.54
800	530	4	117	7.9
770	430	3		6.3
750	435	2	95	7.56
				7.363
800	620	4	115	8.05
670	420			
770	400	3	97	6
760	330	3.5	112	5.762
720	310	2	86	6
780	400	3	98	7.4
710	620	3	98	6.9
800	320	3	100	7.776
780	340	3	100	7
730	510	4	107	7
710	400			8.64
780	480	4	102	
740	360	3		7.2
790	480	4.5		6.595
770	395	3.5	97	7
720	380		89	6.8
730	360	3	85	6.544
				
800	550	3.5	107	
800	610	3.5	110	7.4
780	660	3.5	98	8
800	560	4.5	113	9.84
				7.7
800	435	3.5	92	8.17
800	660	4	112	6.785
520	300	2		
790	540	4	107	7.898
690	450	3	95	
770	580	4	104	7
700	480	2	81	7.3
790	390	4		8.04
770	560	4	109	
800	710	4.5	113	7.67
760	490	3	99	7.65
750	650			6.7
800	590	3.5	111	7.9
400	750	3	100	8
			101	7.512
750	440	3.5	101	6.9
780	570			8
800	520	3	100	6.7
750	485	3.5	101	6.8
800	440	3	101	7.5
710	320		87	7
780	610	3.5		
	410			
790	450	3		8.42
780	700			7.65
710	320	3.5		6.617
770	350	3	98	5.676
730	395	3.5	91	6.76
770	530	4	109	9.675
680	590	2.5	88	
800	540	4	104	7.2
800	640	3.5	104	9.75
780	620	4	112	7.3
				
770	340	3	91	7.45
800	540		105	7.94
740	550	3	100	8.6
				6.7
				8.72
				
800	620	4.5	115	8.8
710	290	2	82	7.3
740	600	3		8.1
				8
350	680			7.82
770	540	3	107	8.17
740	485	3	100	6.8
550	250	3	100	7
740	465	3.5	110	7.1
780	590	3.5	111	8.1
750	350			
770	330	3	85	7.3
740	280	2.5		6.5
730	310	3	80	
750	530	3.5	111	7.2
750	500			7.1
790	680	4	112	8.5
800	500	3	105	8.5
760	500	3	93	8.8
800	575	3	102	8.2
740	600			7.2
780	435	3	110	7.2
750	310	3	98	6.8
720	330	3	87	6.86
800	530	3	97	7.7
720	570	2.5		6.35
				7.6
740	320	3		
				
				
680	435	3		8
740	400			
750	450		107	7.2
710	340	3	94	6
800	640		110	6.3
	370		87	6.68
740	420	3	100	7.499
800	620		111	7.49
800	550	3.5	98	8.4
770	380		101	6.9
790	485	4	104	7.4
780	300	3	79	5.7
760	410	3.5	104	7.813
				
750	350		95	7.7
790	670	3.5	107	8.53
730	470	3	105	8.4
720	465	4	100	9.52
730	530	3.5	105	6
800	530	4	108	9.59
800	470	3	90	8.3
595	395	2.5	96	
				
800	630	3.5	110	6.9
800	560	3	102	8.05
644	360	3	98	6.666
770	290	3	109	8.02
740	410	3	85	6.5
690	290	2	80	7
720	310	2	86	6
740	540	3	88	7.1
780	450	3	107	7.85
				
710	360	3	93	6
730	470	3	120	7.3
800	500	4	114	8.27
770	485	3.5		7.33
780	300	2.5		7
720	600	3.5	105	6
750	490			8.32
770	560	3.5	104	7.328
800	620	4.5	112	5.71
800	590	3	94	6.8
750	520			7.4
790	515	3.5	105	9.1
760	410	4	107	7.17
780	520	3	105	8.75
730	465	3	81	7.8
800	680	4.5	120	7.9
800	575		120	8.45
790	665	4	119	7.97
615	485	3	100	7.75
760	550	4	113	9.3
				
770	590	3	116	6.1
770	530	3		8.7
540	250	3		
760	640	4	110	5.4
790	465	3	111	8.61
760	500	3	100	
800	620	4	108	7.55
610	370	3	95	7.9
750	450			5.93
780	380	3	102	8.55
775	660			7.5
770	550	3.5	106	6.4
750	550	4	111	7.1
				
740	510	3.5		8.1
660	510	3	91	6.8
				
780	440	3		7.9
730	550	4	104	6.7
				
800	570	4.5	112	7.313
800	670	3.5	113	7.419
				
770	465	3.5	101	6.4
790	650	3.5	101	8.75
720	520		101	7.5
760	380	4	101	7.01
730	330	3.5		8.35
				
			104	7.131
770	515	4.5	100	6.9
750	580	3	101	7.2
740	710	4	111	7
780	545	4.5	99	7.3
750	380	4	93	7.6
760	440	4	101	6.6
800	450			6
750	480			6.26
800	450	3.5	119	8.38
790	630	3	106	8.88
720	420	4	100	7.2
750	400	3		
680	370	3.5		7.5
750	540	3		7.44
800	650	4	110	7.146
				
730	520	4.5	108	
760	400	3.5	96	8.48
750	530	3	95	
780	330	2		7.3
760	550	4	110	6.339
780	575	3.5	107	6.56
750	430	3	85	6.3
780	520	4	112	9.1
780	670		114	9.58
800	410	3	107	7.68
780	300	2.5		7
				9.27
740	310	2		
800	630	3	98	6
770	395	3	94	6.12
				
750	530	3.5	110	8.3
740	370	3.5	94	6.5
740	380	3.5	100	7
				
800	550	3.5	111	8.3
800	620	4	115	8.38
630	390			7.5
800	640	5	119	9.15
660	570	3.5	102	6.5
				
770	650	3	91	8.835
660	620	2.5	90	6
730	470	3.5	96	7.03
				6.67
800	670	4	109	6.4
750	370		95	8.09
				7.96
800	550	2.5	97	7.5
700	450	3	100	
				
800	515	3.5	106	5.93
690	320	3	90	7.2
740	400			6.7
665	450	3	108	6.6
				7.412
790	580	4	111	8.1
				
730	340		94	7.126
790	530	3.5	110	8.57
				
	500	3.5	93	7
800	700	4		8
800	400			
770	530	4	110	7.2
800	440	3	79	7.1
780	560	3.5	83	7.1
800	610	3.5	108	7.84
800	510	4	110	8.236
800	450	3	99	8.7
800	660	4.5	113	7.5
				
790	340	3		8.94
730	370			7
800	310	3		7.55
760	515	4	116	6.34
690	460	3	113	9.5
690	280	2	88	7.2
760	590	4.5	110	8.1
750	435	3.5	104	8
790	470	4	102	7.3
750	500			9.5
780	640	4	113	8.83
670	590	4	103	5.877
720	420			8.1
770	390	3		6.5
750	630	4.5	112	8.51
800	690	4	99	6.9
				7.5
730	360	3		7.9
750	490			7.96
710	550	2	85	
750	570			7.85
800	515	4	110	9.29
720	420	3.5	92	7
730	640	3	105	6.5
760	380	3	86	5.5
				8
750	440	4		6.9
800	630			7.938
700	420	3.5	109	7.124
800	600	3.5	105	7.1
780	290	3.5	99	7.24
800	580	2.5		6.3
750	550	3	100	7.5
770	410	4	97	9.03
760	500	3.5	112	6.5
720	660	3	100	7.4
720	320	2.5	96	5.7
780	590	4.5	118	
790	720	4.5		8.28
510	605	3		7.05
670	400	2.5		
800	520	2	82	7.92
720	610	4.5	112	8.2
				
800	530	3.5	105	7.96
800	465	4	106	8.81
	330		98	8.41
800	520	4	104	9.49
700	600	5	110	8.3
800	660	4		8.19
				6.8
790	575	4.5	115	9.33
				
740	435	3.5		8.41
730	260	2		8
680	360	4	106	7
800	640	3.5		6.75
720	570	3	104	8.5
760	580	3.5	106	9.46
730	435	3		8.6
700	480	3	89	7.2
790	680	3.5	116	7.8
800	610	3.5	112	7.13
790	490	3	94	6.2
800	465	3	100	6.625
750	350	3.5	110	9.18
