Q	V	A	T	G
770	710	3.5	104	8.1
740	620	3	104	7.26
750	560	4	105	5.88
770	560	3.5	97	8.74
				9.52
770	600	4	110	7.46
				
	400	3	93	7.5
720	550	3	81	8
800	620	4	99	7.1
770	670	3	107	8.54
720	470	3	84	6.2
				8.69
790	680		108	6.8
700	320	3.5	90	5.8
750	520	3.5	116	5.99
700	630	4.5		6.43
	270	3.5	95	8.01
790	560	3.5		7.2
780	320	3	89	7
710	440	3	94	6.069
800	520	3	96	7.8
710	430	3	97	8.19
800	610	4		8.77
680	270	2.5	96	7
730	290	3.5	83	7.1
760	530	3	100	6.8
690	430	3.5	89	
				
700	310	3		7.81
750	510	3.5	86	8.04
800	680	5	114	7.1
750	670	2.5	105	6.325
700	370	3	94	5.8
620	530	4	103	6.3
800	400	3.5		
790	650			7.5
800	520	3	101	7.32
800	500	4	115	8.8
780	560	3	102	7.4
750	350	3	90	
780	550	3	114	7.306
740	320	2.8	90	7.4
790	700	4		7.8
760	550	3.5	105	7.9
800	650	5		7.8
730	580	4		6.85
				7.52
750	620	4.5	112	6.4
750	330			5.7
740	550	3.5		7.5
790	620	4	116	8.96
720	550	3.5	95	
				9.3
750	590	3	105	8.9
680	580	3.5	104	5.9
800	570	3	111	7.1
700	350	3.5	103	
760	580	4		6.916
700	320	4	99	
780	670	5		7.1
800	440	4	111	7.42
800	400	3		8.2
790	540	4	102	8.1
790	570	4		7.45
790	460	4	101	7.92
760	540	4.5	105	
710	430	3.5	107	8.2
800	360		91	8
			92	
800	800	6		10
730	480	4.5		5.8
				
690	590	3	104	
750	360	3	97	
780	450	2.5	84	6.825
730	330	3	87	6.8
780	550	4	100	7.1
710	330	3		6.15
770	560	3	105	7.1
790	560	3.5	108	7.5
770	485	2.5	99	8.27
720	340	1	98	6.9
750	580	4.5		6.9
800	720	5.5	118	
760	530	3	91	8.11
780	550	3	97	6
760	500	3.5		
760	610		112	6.9
670	540	4	112	5.8
800	580	3.5	109	8
680	400	3	96	7.8
740	550	4	105	6.6
770	640	4.5	114	6.3
760	390	4.5	94	10
770	550			7.73
800	660	4.5	108	7.6
700	430	3	101	8.16
770	690	3		5.8
670	670	4	101	8.3
700	400		95	7.1
780	465	3.5	107	7.1
670	600	3	93	6.7
760	340	3	94	7.455
740	510	2.5	100	6.55
800	730	3.5		8.82
800	660	3.5	109	6.545
780	490	2.5	96	6.073
790	380	3	104	7.7
				
790	400	3	86	7.3
700	570	3.5	110	7.8
760	420	3.5	110	7.9
770	410	3.5	100	6.7
740	440	3	92	7.4
750	430	4	106	8
700	420	3	93	
740	520	4	98	
				
650	680	3	104	7.3
740	640	3	96	6.6
800	635		116	7.32
740	330	2.5	82	7.7
690	395			8
800	570	3	98	7.3
790	410	3	92	7.77
790	560	3	102	7.4
750	470	3	99	7.84
800	640	3.5	108	6.5
750	600	3.5	104	8.75
780	530	3	92	7.1
770	650	4		6.9
750	450	3		7.7
800	530	4	109	7.9
790	540	4	102	8.1
690	410	2.5	80	5.7
800	600	4		7.1
760	530	2.5	98	7.72
770	530	3	102	8.09
730	470	3.5		7.07
800	560	4.5		8.1
				8.1
730	560	3	113	8.526
790	560	3.5	113	
700	350	3	105	5.4
720	320	3	99	7.64
				6
770	340	3.5	93	6.4
	260	2.5	100	6.4
750	420	3.5		9
780	380	3	106	6.1
800	540	4	104	7.193
770	380			7.455
790	340	4	103	
700	370	3	100	6.4
780	640	4	111	8.2
800	570	3	100	9.21
800	570	4.5	112	9
780	670	5	116	6.622
760	450	3	96	5.9
670	360		79	6.2
800	620	5.5	117	8.97
770	370	3	94	5.55
800	600	4.5	105	8.6
760	370	3.5	100	6.7
770	520	3	118	7.2
780	580	3.5	104	8.57
790	530	3.5	104	7.6
720	460	3	102	7.83
740	640	3		6.6
720	500	3	103	6.313
800	590			7.93
670	310	3.5	102	7.6
800	660	3		7.73
770	470			8.56
700	310	3		6.2
710	380	3	94	
730	520			8
730	370		94	6.6
700	480	3.5	90	6.99
800	500	3.5	103	7.2
790	620	4	111	7.9
				7
730	440	3.5	97	8.52
700	580	3.5	108	7.85
760	360	3	94	6.3
790	350	3	97	7.1
780	420	3	102	
750	310	3	88	7.18
760	450	3.5	79	6.288
770	680	4	115	6.842
800	690	4.5	118	8.55
760	240	3	83	8
800	500	2.5	101	6.21
740	280	3	102	6.5
790	550	3.5		5.8
800	650	4	110	8.5
800	730	4		8
720	510	3.5	100	8.05
740	560	3.5		7.5
730	520	4	108	7.24
600	590	4.5	120	5.3
750	330	3	81	6.96
720	540	3	87	6.4
730	550	3	94	7.43
770	500		112	8
700	410	4	95	7.132
800	520	4	106	7.4
				8
720	530	3	91	6.5
750	570	3.5		6.6
760	420	3.5	95	8.8
730	350	3.5	94	6.1
			102	8.425
730	580	4	115	6.938
760	500	3.5	98	6.8
800	600	3	104	8.2
750	400	3.5	90	6.4
700	370	3	87	7.4
800	640	4	112	7.07
620	320		89	
720	290	3	83	7.023
800	330	3.5		7.9
640	310		84	10
750	500	3		7.93
740	570	4	105	7.538
780	550	3	114	7.36
750	410			7.8
740	650	3	106	7.54
780	665	5	118	8.07
770	380	3	90	7
800	620	4	112	9.05
800	690	4.5	117	8.3
750	515	3.5	103	7.342
800	320	3	101	7.3
770	620	3.5	103	6.3
720	450	3.5	99	7.5
665	320	2.5		6
740	470	3		8.93
800	600	4	110	6.5
				9.36
600	800	3.5	110	6.867
770	465	3	103	8.2
790	520	3	91	7.01
760	640	3.5	106	8.8
800	690	4.5		6.7
750	420	3	103	6.01
				7
720	320	3.5		7
740	500		105	5.7
				8.23
770	360	4.5	104	7.97
				8.97
790	340	4		7.42
780	490	3.5	99	6.5
790	410	3.5	109	7.1
800	500	4	110	7.7
740	530	3	101	6.9
730	300	3.5		6.6
770	680	4		6.825
800	700	4	112	8
750	560	3	85	7
670	550	3	99	7.86
800	460	3	101	
710	430	3	108	7.3
800	680	3	109	7.9
780	630	4	110	5.65
800	470	3.5	93	6.5
800	545	4	112	9.13
800	460	3.5	99	6.573
750	550	3.5	101	
720	300	2	73	6.1
780	605	4	109	7.56
680	660	3.5	111	8.5
750	490			8.65
				
780	450	3.5	104	8.96
	560		105	5.8
780	600	3		9.2
780	480	3	104	6.52
770	700	5	109	7.2
690	370	4	89	6.941
800	670	3.5	100	7.5
710	410	3	106	5.8
790	530		108	7.2
790	530			6.45
750	670	3.5		7.88
790	580	3.5	106	8
740	560	4	107	6.6
800	660	4	113	
740	490			8
660	270	2		
800	320	3.5		6.83
670	370	2	87	7.2
750	580	3.5		6.3
	540	3.5	105	7.5
750	540	3		6.35
800	670	4	111	6.68
770	450	3	99	6.583
				
740	520		103	7.53
690	360	3	89	8.75
790	450	3.5		7.52
800	510	4	110	8.35
740	400	3	93	5.7
710	370	3	82	6.3
720	460	3	100	5.9
780	520	3	91	
700	400	3		7
780	620		100	6.3
600	440	3	88	
710	410	3.5	107	
770	570	2.5	109	8.13
				7.78
780	520	3		
750	450		105	7.4
790	490	3.5	101	6.4
740	410	2.5	110	7.91
800	530	4		8
790	440		102	
800	550	3	102	7.46
				8.4
800	350	3	85	8.7
770	480	2.5	85	
730	580	3.5	103	8.2
740	330	3		7.2
780	350	3	90	
740	370			7.64
800	600	4	106	8.53
				
780	520			5.9
800	710	5	116	8.46
				7.6
800	610	4	108	8.91
750	500	4	95	6.2
800	610	3.5	100	7.9
730	540	4	99	6.6
				5.3
700	400	3		7.33
650	320	4	95	7
750	470	2.5	108	6.1
800	680	3.5	114	7.15
700	580		87	7.7
780	570			8
790	690	5	113	
790	610	3	105	6.6
800	570	4		7.59
740	490		100	8.1
800	580	4	110	7.555
720	310	3		6.53
760	390	4.5	94	10
800	490	3		7.52
790	530	3.5	100	9.67
800	680	4		6.836
800	510	4.5	98	7.8
800	490	4	109	7.19
770	690		104	6.5
710	660	4	114	7.25
750	720	4	111	6.221
730	300	3.5	90	6.6
780	410			7
730	650	3.5	108	6.7
770	530	4	100	7.25
800	340	4.5	111	7
780	490	3		
750	560	5	114	6.5
740	370	4		6.8
740	490			6.2
790	440	4	100	5.7
790	520	4	110	8.3
800	510	4		7.9
730	520	3	82	6.5
780	580	3	93	7.3
790	450	3.5	101	
640	680	4	115	8.74
	440			6.5
770	640	4	113	9.42
780	470	3	105	9.12
800	520	3	103	6.78
760	350			7.8
800	480	3.5	108	8.38
				
740	540			8.32
780	560	3.5	102	
770	570	3	98	8.71
690	450	3	90	7
780	450	4		7.753
800	590	5	101	7.3
760	610	4	115	7.9
640	520			7.2
740	680	3.5		8.2
770	530	3		7.43
770	430	3		8
800	600	3	120	8.46
760	340	3.5	102	
780	580	4.5		7
800	350	3.5	104	8
800	550	3.5	111	8.17
790	610	3.5	117	6.6
780	460	3	89	
770	500	3	88	6.97
				
630	660			
790	530	4	110	9.14
790	540	4.5		9.75
780	500			7
770	485	3		7.9
770	360	3	93	6
800	530	3.5		7.4
740	490			6.48
800	500	4.5		8.161
782	600			8.4
800	620	3	104	6.411
790	450	3.5		8.6
740	330	3		7.7
750	330	2.5		7.28
800	600	3.5	101	
740	550	3.5	100	8.7
800	520	4	113	6.8
580	320		85	6.235
800	580	3		7.5
760	550	4	105	8.004
800	660	4	114	7.82
800	660	3	110	7.7
790	640	3	105	7.8
770	490	3.5		8.92
630	370	2.5	90	7.2
740	450	3	105	5.5
740	320	2.5	86	7.5
770	490	3.5		8.92
720	580	4.5		6.5
770	570	3	107	7.61
790	420	3.5	104	6.4
710	470	2.5	95	6.2
800	620	3.5	113	6.9
750	400	4	103	6.2
800	560			6.5
730	620	4	111	5.85
770	430	3		8
800	470	3	112	8.26
740	340	4		
670	430	2.5	100	6.6
710	310		86	
790	620	3	110	6.2
780	530	3	93	6.5
780	360			7
750	410	3.5	106	7.6
790	610	3	103	7.1
700	400	4		7.3
				
770	640	4		6.7
800	350			6.8
680	500	3	101	8.36
				7
730	610	3.5	114	
740	550			8
730	360			
670	390	3	108	7.45
780	560	6	116	7.94
760	550	4	113	7.2
710	310	3		7
				
770	515	4		9.32
770	410	3.5		8.53
780	560	4	115	9.21
800	410			8.8
740	550	3.5	108	8.2
740	480	3		
780	530	4	108	6.725
800	450	3	105	8.7
	600	4	111	7.3
770	485	3		5.96
800	530	5	118	8.84
740	370	4		6.6
				9
740	370	4	94	7.65
760	560	3.5	104	6.8
770	460	3.5	102	
800	575	3	105	7.709
770	500	3	97	7.5
800	700	3.5	110	8.59
720	500	3	102	7.47
770	480	4	102	7.3
760	440	4	107	6.6
				6.617
770	530	3.5	97	8.9
770	560	3.5	106	6.9
770	380	3		7.1
800	650	4	114	7.2
780	620	3.5		6.7
780	480	4.5	103	5.5
780	550	4	105	7
720	560		102	8
760	540	3		8.22
780	640	3.5	108	7.5
720	560	4	102	8
760	670	5.5		6.6
570	800	5	113	
				9.07
				
680	500	3		6.4
750	340	3	90	
790	410		109	6.1
650	330	4	97	7
790	620	4	108	9.87
750	400	4	94	7.4
740	580	3	91	8.15
790	270	3	96	
740	600	4.5		9.5
790	660	3.5	116	9
740	360	2.5	79	8.04
740	420	2.5	95	6.7
660	320	2.5	97	
780	420	3.5	106	9.1
750	410		100	7.3
720	410	3		5.98
780	580	4	113	7.5
760	420	3	98	7.4
760	530	3.5	107	8.7
740	520	3	95	7.6
760	340	3	86	7.8
780	470	3.5		7.2
790	420	2.5	83	6.6
790	490	4.5	108	8.2
770	515	3.5	111	7.55
705	395	3		6.3
770	560	3	97	6.9
760	420	3	100	5.6
740	420	4	98	5.8
670	410	3		7
750	380	3	91	8
750	370	3	91	8.37
730	660	4	107	7.6
740	350			6.9
730	550			
800	380	3.5		7.3
690	480	3	85	8.21
780	570		104	
790	390	3.5	112	9.55
660	570	3	101	6.5
	460		108	
800	400	4	95	6.15
720	480	3.5	107	5.8
790	590	3.5	116	8.4
730	500	3.5		8.5
780	360	2.5	82	7.233
800	700	5	115	8.19
760	350	4	94	
750	500	3	101	7.72
800	710	5.5	118	9.33
800	600	3.5	108	8.2
780	430	3		6.8
740	360	3	103	5.8
700	420	3	96	7.15
740	400			8.3
760	450	3.5	102	8.1
800	450	3		6.306
740	230	2	101	6.2
800	590	3	100	6.288
740	515	3.5	115	5.7
800	545	4.5	111	8.19
750	575	4	113	5.62
800	460	3	90	7.9
760	450	4	97	6.6
790	545	4	100	6.333
690	420	3.5	103	7.2
740	650	3	93	7.2
760	330	3	95	8.5
				
800	560	3	90	6.46
730	450	3	94	6.5
770	540	3	90	8.1
770	560	4	108	7.933
800	570	3	104	8.68
710	340	3	88	7.1
790	590	3		6.8
800	560	4	116	8.6
760	590	3		6.642
760	320	3	89	7.03
730	510	4	106	8
800	500	4		6.4
800	500	3.5	109	7.9
790	480	2.5	104	6.504
800	610	4.5	110	8
760	550	3	108	7.5
760	480	3.5	102	7.395
730	410			6.96
780	530	4	95	6.53
800	660	4.5	117	8.7
780	635	4	114	6.45
680	310	2.5	80	6.8
730	290	3		6.6
740	620	4	106	8.1
740	400	3.5	99	7.9
665	340	3	98	6.7
780	460		94	7.5
710	540	3	102	8.91
595	330	3.5	95	7.8
730	520	3.5	105	6.4
790	590	4	112	8.49
800	580	3.5	97	5.5
800	530	5	101	6.43
705	370	3	84	7.6
730	550			6.4
770	530	3	111	6.424
790	530	3.5	109	8.69
800	650	3	103	7.4
750	510	3.5		8.72
730	310	4		5.8
800	670	3.5	104	6.6
770	575	4	110	9.18
