University of Southern California;|
Northern Illinois University;University of Akron;University of Arkansas Fayetteville;University of Houston main campus;University of Illinois Chicago;University of Illinois Springfield;University of Illinois Urbana-Champaign;University of North Carolina Chapel Hill;University of North Carolina Charlotte;University of South Carolina Columbia;University of Texas Arlington;University of Texas Austin;University of Texas Dallas;|
University of California Davis;Rutgers University New Brunswick/Piscataway;Texas A&M University College Station;University of California Santa Barbara;University of Florida;University of Southern California;University of California San Diego;University of Massachusetts Amherst;|Rutgers University New Brunswick/Piscataway;Texas A&M University College Station;University of California Santa Barbara;University of Florida;University of Southern California;
University of Florida;University of Texas Dallas;Georgia Institute of Technology;North Carolina State University;Pennsylvania State University University Park (main campus);University of California Irvine;University of California Santa Barbara;University of Colorado Boulder;Virginia Polytechnic Institute and State University;|University of Florida;University of Texas Dallas;
|
California Institute of Technology;California State University Los Angeles;Florida State University;Georgia State University;North Carolina State University;Texas A&M University Texas A&M International University (Laredo);Texas A&M University West Texas A&M University;University of California Davis;University of California Irvine;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of Minnesota Twin Cities;University of North Carolina Charlotte;University of Southern California;University of Texas Austin;Virginia State University;|
|
Georgia Institute of Technology;Texas A&M University College Station;University of Florida;University of Texas Austin;|
Wichita State University;|
|
University of California Irvine;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of San Diego;University of Southern California;|
North Carolina State University;University of Houston main campus;University of Southern California;|North Carolina State University;University of Houston main campus;University of Southern California;
|
Arizona State University;Oregon State University;University of Southern California;University of Massachusetts Amherst;University of Minnesota Twin Cities;University of Texas Dallas;|University of Massachusetts Amherst;University of Minnesota Twin Cities;University of Texas Dallas;
Purdue University;University of Maryland College Park;University of Minnesota Twin Cities;Georgia Institute of Technology;University of Illinois Urbana-Champaign;University of Texas Austin;|Purdue University;University of Maryland College Park;University of Minnesota Twin Cities;
Texas Tech University;University of Utah;Michigan Technological University;SUNY Buffalo;University of Houston main campus;University of North Carolina Charlotte;Auburn University;|Michigan Technological University;SUNY Buffalo;University of Houston main campus;University of North Carolina Charlotte;
Southern Illinois University Carbondale;University of Florida;|
|
Arizona State University;Auburn University;North Carolina State University;Rutgers University New Brunswick/Piscataway;University of California Irvine;Virginia Polytechnic Institute and State University;|
Colorado State University;Illinois Institute of Technology;|
Arizona State University;Georgia Institute of Technology;University of Michigan Ann Arbor;University of Pennsylvania;University of Southern California;University of California Berkeley;University of Illinois Urbana-Champaign;Virginia Polytechnic Institute and State University;|Georgia Institute of Technology;University of Michigan Ann Arbor;University of Pennsylvania;University of Southern California;
University of Florida;|University of Florida;
Georgia Institute of Technology;Pennsylvania State University University Park (main campus);Texas A&M University College Station;Texas A&M University West Texas A&M University;University of California Berkeley;University of California Davis;University of California Irvine;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of Florida;University of Illinois Urbana-Champaign;University of Michigan Ann Arbor;University of Minnesota Twin Cities;University of Texas Austin;University of Wisconsin;Virginia Polytechnic Institute and State University;|
Clemson University;Polytechnic University of New York;Rochester Institute of Technology;University of North Carolina Charlotte;University of Pennsylvania;Northeastern University;University of Florida;University of Pittsburgh Greensburg;|Clemson University;Polytechnic University of New York;Rochester Institute of Technology;University of North Carolina Charlotte;University of Pennsylvania;
Arizona State University;North Carolina State University;SUNY Stony Brook;Syracuse University;Texas A&M University College Station;University of Texas Arlington;University of Texas Dallas;Virginia Polytechnic Institute and State University;|
Arizona State University;University of Minnesota Twin Cities;Received ;Columbia University;Georgia Institute of Technology;;North Carolina State University;Purdue University;Received ;University of California San Diego;University of California Santa Barbara;University of Michigan Ann Arbor;;University of Pennsylvania;|Arizona State University;University of Minnesota Twin Cities;Received ;
Arizona State University;University of Arizona;University of California Los Angeles;University of Florida;University of Southern California;|
