780	640	4.5	108	6.9
800	530	3	108	6.7
760	480	3.6	99	6.7
?	?	?	?	?
770	660	3	106	5.9
?	?	?	?	?
750	420	3	90	7.64
?	?	?	?	?
770	550	?	?	8.74
?	400	3.5	100	6.4
750	500	3.5	97	7.5
740	600	4	114	7.6
750	650	4	111	7.7
?	?	?	?	?
670	230	2	?	6.564
800	640	4.5	112	8.56
780	480	3.5	105	6.08
800	400	4	?	8.1
670	230	2	?	6.564
770	490	3	104	8.98
720	480	3.5	?	5.1
800	600	?	104	8.5
730	465	3	?	9.005
750	640	3.5	109	5.9
750	390	?	?	?
730	540	3	?	10
770	650	?	106	9.2
710	460	?	?	9.01
800	580	?	?	?
750	490	2	84	7.13
720	400	3	97	8.73
780	330	3	92	7.5
800	710	3.5	108	7.6
800	590	2	91	7.4
770	700	4	?	?
780	470	?	?	6.8
700	330	3.5	?	7.6
?	?	?	?	8.6
790	420	3	93	6.6
650	340	3	?	7.3
740	280	2.5	?	7.25
800	570	4	110	9.272
700	730	4	102	6.7
?	?	?	?	?
800	530	?	?	9.05
770	550	3.5	110	6.5
680	470	?	?	?
780	590	3	105	7.88
?	?	?	?	8.4
600	480	?	?	8.5
?	?	?	?	?
750	350	?	?	8
?	?	?	?	?
800	575	4.5	108	8.69
670	440	3	89	?
720	320	3	83	7.316
720	580	3	?	7.8
650	440	3	91	5.5
800	460	5	?	6.8
640	310	3	97	6.7
740	620	3.5	?	6.5
770	590	3.5	?	10
?	570	?	?	6.7
?	?	?	?	7.3
?	?	?	?	?
750	560	3	?	?
800	550	?	?	7.3
770	570	4	?	?
800	610	3.5	?	7.5
800	570	3	91	9.22
750	450	3	100	6.4
740	360	?	80	?
780	460	3	102	9.01
800	330	?	?	?
770	420	3.5	99	8
790	720	4	114	7.9
670	790	4	?	8.2
750	550	3	89	8.34
800	440	3.5	?	8.6
780	560	2.5	?	?
730	310	3	82	6.2
710	390	?	?	?
800	580	3	?	7.69
670	570	2.5	100	7
790	550	3.5	103	8.18
670	330	3	?	8.05
760	360	2.5	95	6.4
?	?	?	?	?
780	390	3	?	8.28
750	470	?	116	6.07
750	300	?	?	?
790	560	3	100	6.563
?	?	?	?	8.4
770	650	2.5	?	8.28
720	580	3	?	7.7
?	?	?	?	7.2
?	?	?	?	8.3
650	660	2	?	7.95
800	520	?	?	10
665	330	3	103	7.73
800	610	3.5	?	8.3
790	650	3	109	7.8
800	685	4.5	112	7.04
720	370	3	?	6.8
760	515	3	110	8.75
800	550	4.5	?	9.2
720	270	2	92	8.368
800	500	3	?	7.1
720	640	4	?	7.8
690	400	3	101	8.3
660	490	?	?	6.7
780	230	3	?	?
800	600	4	?	?
760	530	3.5	105	7.39
800	600	4	?	6.67
780	550	3	?	?
800	600	4	108	7.433
770	630	3	100	?
800	570	3.5	102	6.6
770	560	4	108	8.33
670	420	3.5	97	7.2
?	?	?	?	8.23
790	515	4	109	7.47
600	600	4.5	100	6.2
790	710	4	110	8.2
650	370	2.5	85	7.4
740	380	3	?	8.87
750	420	3	?	?
740	520	4	?	7.4
800	620	3.5	105	9.34
790	580	?	?	?
800	650	4.5	114	5.9
790	450	?	?	8.1
770	310	3.5	?	6.65
760	530	3	113	8.28
790	490	3.5	110	7.3
790	590	?	?	9.5
?	?	?	?	8.34
750	600	3.5	111	5.5
760	460	3	108	8.15
?	?	?	?	8.17
770	545	4	111	7.7
530	540	3	91	?
780	620	3	93	8.85
750	520	3	106	6.1
800	660	3	?	7.4
800	540	3	?	?
?	?	?	?	6
770	340	3	?	5.8
740	590	3.5	?	7.05
720	380	2.5	?	8.1
800	600	4	116	8.96
?	?	?	?	7.5
800	680	3.5	?	8.705
790	500	4	?	8.3
740	470	3.5	?	7.3
?	?	?	92	6.1
740	330	2.5	?	6.5
750	680	4.5	108	8.1
?	?	?	?	?
?	?	?	?	?
?	?	?	?	?
800	570	3	104	9.57
?	?	?	?	?
800	640	3.5	?	8.88
?	?	?	?	7
760	240	3.5	105	?
800	570	3.5	?	8.91
760	600	3	?	7.65
760	620	2.5	?	9.68
?	?	?	?	?
730	540	3	100	?
760	600	3.5	110	7.4
?	?	?	?	?
750	420	3	97	7.1
800	430	4	?	?
760	640	4	107	9.51
680	480	3.5	102	5.25
?	?	?	?	7.9
790	560	?	?	7.3
?	?	?	?	?
690	270	3	?	7.2
690	270	3	?	7.2
690	270	3	?	7.2
800	660	5	119	8.3
760	540	2.5	?	7.77
770	650	3.5	?	6
750	410	?	?	7.49593
750	310	3	87	?
730	520	3	100	6.2
770	280	3.5	97	8.48
680	500	3	?	6.8
790	710	3	113	7.8
800	465	4	106	8.84
780	470	4	104	8.95
770	500	3	?	8.12
740	660	3.5	109	6.15
750	510	3	?	?
770	580	3	107	9.32
690	460	4	?	6.9
?	?	?	?	8.88
780	550	3	?	?
?	?	?	?	8.45
710	430	2.5	89	7.84
?	?	?	?	6.7
?	?	?	117	8.7775
790	520	3	?	5.682
740	570	4	102	5.4
780	610	2.5	97	6.7
740	440	?	108	7.45
?	?	?	?	?
750	620	4	110	9.3
?	?	?	?	6
770	630	3.5	?	6.33
740	360	3	90	7.874
800	600	4	111	8.99
760	530	3	100	8.3
700	550	3	?	7.2
800	520	3.5	101	7.1
770	390	3.5	?	8.35
770	460	4	?	7
750	360	3	?	5.7
750	430	?	?	6.813
?	?	?	?	?
750	550	3	?	6.906
?	550	4	100	7.344
760	590	2.5	99	6
800	540	3	97	7.49
770	540	4	101	6.35
