?	?	?	?	6.9
710	300	3.5	?	8.9
?	?	?	?	7.8
710	510	3	104	7.02
790	670	4	115	7.5
740	590	3.5	101	7.2
800	630	?	?	7.5
?	?	?	?	?
800	550	3.5	?	7.4
750	480	?	?	8.75
760	560	3	?	?
800	440	3	88	7.107
770	570	3	?	6.7
760	390	3	?	6.23
750	580	3	103	8
760	530	3.5	115	?
?	640	3.5	114	8.14
800	690	4	110	7.6
?	?	?	?	7.74
780	420	2.5	83	8.738
?	?	?	?	8.6
770	590	?	?	7.5
780	660	2.8	112	8.1
650	450	4	108	7.5
?	?	?	?	?
770	300	3	76	7.56
800	630	3.5	108	6.9
700	490	?	?	?
?	?	?	?	8.61
770	500	3.5	104	7.2
500	?	?	?	6.5
790	630	4.5	119	7.9
730	320	4	102	7.5
690	530	3	?	7.2
800	560	3	100	?
790	620	3.5	108	6.9
?	?	?	95	6.1
750	400	?	?	7.5
800	480	3	?	7.84
680	430	3	?	7.007
760	600	3.5	114	8.004
800	610	4.5	?	8.45
720	410	3.5	?	8.51
800	570	4	97	8.1
780	485	3.5	110	7.9
780	640	3	109	7.6
800	520	?	?	?
740	300	2.5	72	8.175
720	500	3.5	117	7.26
750	580	4	103	7.8
730	420	?	?	?
700	410	3	?	5.891
700	720	4	?	6.05
790	590	3	104	8.6
780	680	3.5	109	8.3
?	?	?	?	?
720	530	3.5	?	7
800	440	?	?	7.107
780	600	3	?	8.28
800	440	?	?	7.107
800	590	4	113	7.73
780	340	4	103	8.3
750	350	?	?	8.2
?	?	?	?	8.18
800	580	3	106	6.3
700	500	2	95	9
780	520	3.5	101	7
760	230	2	82	6.1
720	490	2.5	?	7.1
800	650	?	?	8.4
790	550	3	?	9.26
720	340	?	?	?
800	580	3	?	7.86
?	?	?	?	?
780	340	3	?	7.732
800	650	3.5	108	7.89
?	240	?	91	?
730	320	3	100	8.05
?	?	?	?	?
740	520	3	103	6.2
800	550	3	?	7.499
800	590	3.5	104	7.786
780	470	3	85	9.45
740	310	?	?	?
800	510	3.5	?	9.02
?	?	?	?	8.17
?	?	?	?	7.8
?	?	?	?	?
?	?	3	101	7.78
790	280	2.5	?	6.6
780	500	3	91	7.03
770	340	3	?	?
710	550	3	98	7.4
760	620	4	?	8.2
760	575	4.5	116	7.73
770	580	3	?	7.96
790	360	4.5	100	8.1
800	560	3.5	113	8.3
?	?	?	?	?
730	500	4	102	6.4
?	?	?	?	6
?	?	?	?	8.2
720	370	2	82	?
800	770	5	118	9.3
790	780	?	?	8.9
800	610	3.5	?	7.3
800	630	4	104	9.02
?	?	?	?	?
710	290	?	?	7.113
760	580	4	?	8.28
800	660	4	107	6.9
760	510	?	?	6.5
700	280	3	85	7.1
800	610	3	108	8.73
750	370	?	?	?
?	?	?	?	?
800	640	3	?	8.06
800	600	4	114	9.2
800	540	?	?	6.8
?	?	?	?	?
720	340	2	?	6.5
770	310	?	?	8.106
750	700	?	111	6.8
710	630	?	?	7.7
800	515	3.5	103	8.71
770	570	4.5	107	6.1
705	530	4.5	112	7.16
790	360	3	89	6.4
710	660	3	?	7.3
730	540	3	104	7.62
770	480	?	?	?
800	640	3	100	8.1
730	310	?	?	?
800	485	3.5	97	8.93
720	310	3	78	7.03
780	580	3	?	7.8
790	650	3.5	112	9.85
790	630	3.5	117	8
790	510	3.5	?	8.38
580	430	3	?	7.5
780	460	?	?	7.74
800	590	3.5	107	6.9
?	?	?	?	?
?	340	?	?	?
800	550	?	?	7.7
770	420	3.5	107	7.7
670	330	?	?	6.6
680	310	2.5	?	?
760	400	3	90	8.91
?	?	?	?	?
720	330	3	62	6.74
740	230	?	79	?
?	?	?	?	?
780	630	4	?	6.6
750	465	3.5	112	?
800	430	?	100	8.39
760	560	3	?	7.848
790	620	4.5	?	7.74
700	230	2.5	85	6.95
720	400	3	?	8.72
800	650	3.5	?	8.01
800	750	4.5	112	7.254
?	?	?	?	?
800	500	3	?	7.92
790	605	4.5	113	7.31
780	360	4	88	7.33
740	420	?	?	?
730	490	3.5	102	?
?	?	?	?	6.9
?	?	?	?	7
?	?	?	?	7.49
?	?	?	?	?
800	300	2	95	7.4
?	?	?	?	?
740	390	3	102	?
780	680	3	103	6
650	600	4	?	7.058
?	?	?	?	7
740	680	4.5	?	?
?	?	?	?	6.6
800	590	3.5	110	8.56
800	590	?	?	6.166
780	440	4	?	9.38
770	440	4.5	108	9.78
800	440	3	105	9.82
750	580	2.5	?	6.8
780	510	3.5	?	?
730	550	3	109	7.46
800	650	4.5	?	6.846
710	330	3	?	5.8
800	400	3.5	?	8
750	460	4	110	6.96
760	560	3	92	8.54
?	300	?	60	6
770	490	3.5	101	9.28
740	430	3	?	9.16
800	520	3.5	106	7.3
350	760	?	?	8.05
680	340	?	?	6
780	350	2.5	101	5.7
760	640	2.5	87	8.1
705	380	4.5	85	7.6
800	710	4.5	?	7.9
780	620	4	96	8.565
750	390	?	?	7.2
800	590	3	102	9.02
680	530	?	?	?
680	510	3	?	?
790	580	3.5	103	8.9
800	390	3	?	8.9
?	?	?	?	?
800	550	?	?	8.017
750	460	3	100	6.7
780	530	3	106	7.4
740	370	3	?	8.3
800	680	4	101	8.044
750	550	3	104	7
720	430	4	100	7.5
770	310	2.5	90	7.9
760	730	3	113	8.08
760	530	3.5	100	8.07
800	540	4	112	6.7
800	680	3	106	8.37
?	?	?	?	8.67
760	550	2.5	110	8.012
730	660	3	86	7.406
790	560	3	?	8.532
780	430	2.5	?	7.78
800	710	3	?	7.4
790	440	?	?	9.29
