University of Cincinnati;Bentley College;University of Texas Dallas;|Bentley College;University of Texas Dallas;
Illinois Institute of Technology;Northeastern University;University of Missouri Rolla;University of Texas Dallas;University of Illinois Chicago;University of Michigan Ann Arbor;|Northeastern University;University of Missouri Rolla;University of Texas Dallas;
Carnegie Mellon University;Indiana University-Bloomington;New York University;University of Arizona;University of Cincinnati;Texas A&M University College Station;Woot :) !! First ;University of Illinois Chicago;|Texas A&M University College Station;Woot :) !! First ;University of Illinois Chicago;
New York University;University of Arizona;University of Illinois Chicago;Texas A&M University College Station;University of Cincinnati;|New York University;University of Arizona;University of Illinois Chicago;
Carnegie Mellon University;Georgia State University;Application Submitted on 25th December. ;Rensselaer Polytechnic Institute;Application Submitted on 31st December.;Syracuse University;Application Submitted on 29th January.;Texas A&M University College Station;Application submitted on 29th November. WES report sent on 5th Jan 2012.;University of Cincinnati;Application submitted on 3rd December. Interview done on 5th Jan 2012. ;Indiana University-Bloomington;|Carnegie Mellon University;Georgia State University;Application Submitted on 25th December. ;Rensselaer Polytechnic Institute;Application Submitted on 31st December.;Syracuse University;Application Submitted on 29th January.;Texas A&M University College Station;Application submitted on 29th November. WES report sent on 5th Jan 2012.;University of Cincinnati;Application submitted on 3rd December. Interview done on 5th Jan 2012. ;
Ohio University;Old Dominion University;University of Nebraska Omaha;|
Polytechnic University of New York;Illinois Institute of Technology;University of Texas Dallas;Worcester Polytechnic Institute;|Illinois Institute of Technology;University of Texas Dallas;Worcester Polytechnic Institute;
Syracuse University;University of Florida;University of Illinois Chicago;|Syracuse University;University of Florida;University of Illinois Chicago;
|
Oklahoma State University Stillwater;University of Akron;University of Texas Dallas;Utah State University;SUNY Buffalo;Texas A&M University College Station;|Oklahoma State University Stillwater;University of Akron;University of Texas Dallas;Utah State University;
University of California Berkeley;|
New York University;Texas A&M University College Station;University of Arizona;University of Illinois Chicago;;Carnegie Mellon University;;Indiana University-Bloomington;|New York University;Texas A&M University College Station;University of Arizona;University of Illinois Chicago;;
University of Arizona;Third ;University of Illinois Chicago;University of South Florida;Georgia State University;|University of Arizona;Third ;University of Illinois Chicago;University of South Florida;
University of Texas Dallas;|University of Texas Dallas;
Oklahoma State University Stillwater;|Oklahoma State University Stillwater;
|
San Jose State University;|
University of Cincinnati;|University of Cincinnati;
Northeastern University;University of Texas Arlington;Oklahoma State University Stillwater;University of North Carolina Charlotte;University of Texas Dallas;|Oklahoma State University Stillwater;University of North Carolina Charlotte;University of Texas Dallas;
Florida International University;Bentley College;New Jersey Institute of Technology;University of Florida;University of Houston main campus;|Bentley College;New Jersey Institute of Technology;University of Florida;University of Houston main campus;
University of Illinois Chicago;Worcester Polytechnic Institute;Syracuse University;University of Arizona;University of Cincinnati;University of Maryland College Park;University of Washington;Northeastern University;|Syracuse University;University of Arizona;University of Cincinnati;University of Maryland College Park;University of Washington;
Rensselaer Polytechnic Institute;Applied : 21/10/2011.... Packets Reached: 28/10/2011 ..... ;Syracuse University;Applied: 30/10/2011...Packets sent: 7/11/2011.... ;Texas A&M University College Station;Application Complete: 1ist Nov..... WES: 16 Dec.... ;University of Arizona;Applied: 26/10/2011......;University of Cincinnati;Applied 15/10/2011... Interview: 7/11/2011... The wait paid off..;University of Illinois Chicago;Applied: 20/10/2011 Packets received: in 2 weeks..... First ;University of Washington;Indiana University-Bloomington;Applied: 15/10/2011 Packets received: on 25/10/2011 ...;|Rensselaer Polytechnic Institute;Applied : 21/10/2011.... Packets Reached: 28/10/2011 ..... ;Syracuse University;Applied: 30/10/2011...Packets sent: 7/11/2011.... ;Texas A&M University College Station;Application Complete: 1ist Nov..... WES: 16 Dec.... ;University of Arizona;Applied: 26/10/2011......;University of Cincinnati;Applied 15/10/2011... Interview: 7/11/2011... The wait paid off..;University of Illinois Chicago;Applied: 20/10/2011 Packets received: in 2 weeks..... First ;University of Washington;
Florida International University;Northeastern University;University of Texas Dallas;Polytechnic University of New York;Syracuse University;|Polytechnic University of New York;Syracuse University;
New York University;North Carolina State University;Northeastern University;Syracuse University;University of Arizona;University of Cincinnati;University of Illinois Chicago;University of South Florida;|
Illinois Institute of Technology;Rochester Institute of Technology;Santa Clara University;University of Missouri Rolla;University of Texas Dallas;|Illinois Institute of Technology;Rochester Institute of Technology;Santa Clara University;University of Missouri Rolla;University of Texas Dallas;
|
"Texas A&M University College Station;Applied on December 1st|2011. ;University of Arizona;Applied on November 7th|2011. ;University of Illinois Chicago;Applied on November 7th|2011. Wait-listed on Feb 7th| 2012. ;University of Maryland College Park;Applied on December 13th| 2011. ;University of South Florida;Applied on November 15| 2011. ;Indiana University-Bloomington;Applied on November 7th|2011. No interview call. ;University of Cincinnati;Applied on November 9th|2011. Wait-listed on Feb 1st| 2012| ;"|"Texas A&M University College Station;Applied on December 1st|2011. ;University of Arizona;Applied on November 7th|2011. ;University of Illinois Chicago;Applied on November 7th|2011. Wait-listed on Feb 7th| 2012. ;University of Maryland College Park;Applied on December 13th| 2011. ;University of South Florida;Applied on November 15| 2011. ;"
Arizona State University;Colorado State University;University of Arizona;|
|
New York University;Northeastern University;University of Illinois Springfield;Got ;University of South Florida;Got ;University of Texas Dallas;George Washington University at Mount Vernon College;|University of Illinois Springfield;Got ;University of South Florida;Got ;University of Texas Dallas;
Indiana University-Bloomington;SUNY Buffalo;Syracuse University;Application submitted - 14th dec.|| ;University of Arizona;Texas A&M University College Station;application submitted - 5th dec || Waitlisted || ;|Indiana University-Bloomington;SUNY Buffalo;Syracuse University;Application submitted - 14th dec.|| ;University of Arizona;
New Jersey Institute of Technology;University of Texas Dallas;;Utah State University;|New Jersey Institute of Technology;University of Texas Dallas;;Utah State University;
Carnegie Mellon University;Rensselaer Polytechnic Institute;|Carnegie Mellon University;Rensselaer Polytechnic Institute;
|
Oklahoma State University Stillwater;University of Texas Dallas;Worcester Polytechnic Institute;University of Illinois Springfield;|Oklahoma State University Stillwater;University of Texas Dallas;Worcester Polytechnic Institute;
George Washington University-Virginia Campus;Northeastern University;University of Florida;University of Texas Dallas;Duke University;New York University;|George Washington University-Virginia Campus;Northeastern University;University of Florida;University of Texas Dallas;
New Jersey Institute of Technology;|
Carnegie Mellon University;|
Polytechnic University of New York;Southern Methodist University;New Jersey Institute of Technology;Rochester Institute of Technology;|New Jersey Institute of Technology;Rochester Institute of Technology;
University of California Los Angeles;|
Colorado State University;University of Houston Clear Lake;Santa Clara University;Utah State University;Fairleigh Dickinson University;University of Illinois Springfield;|Santa Clara University;Utah State University;
|
Purdue University;San Jose State University;Stanford University;University of Arizona;University of San Francisco;University of Texas Austin;University of Washington;University of Wisconsin Madison;|
DePaul University;|DePaul University;
Indiana University-Bloomington;University of Illinois Urbana-Champaign;University of Maryland College Park;University of Rochester;|
San Jose State University;Santa Clara University;|
|
|
University of Texas Dallas;|
Oklahoma State University Stillwater;SUNY Buffalo;University of Arizona;University of Illinois Chicago;University of Cincinnati;|Oklahoma State University Stillwater;SUNY Buffalo;University of Arizona;University of Illinois Chicago;
New York University;Carnegie Mellon University;Texas A&M University College Station;University of Maryland College Park;|Carnegie Mellon University;Texas A&M University College Station;University of Maryland College Park;
