University of Cincinnati;Bentley College;University of Texas Dallas;|Bentley College;University of Texas Dallas;
Lincoln University;|Lincoln University;
|
Illinois Institute of Technology;Illinois State University;Illinois Wesleyan University;SUNY Buffalo;|Illinois Institute of Technology;Illinois State University;Illinois Wesleyan University;SUNY Buffalo;
|
California State University Chico;San Jose State University;University of California San Diego;University of Southern California;|
Illinois Institute of Technology;|
Cleveland State University;Michigan Technological University;Northern Illinois University;Oklahoma State University Stillwater;Southern Polytechnic State University;University of Akron;University of Houston main campus;University of Missouri Kansas City;University of North Texas;University of Texas Dallas;University of Texas Tyler;|
|
Rensselaer Polytechnic Institute;Texas A&M University College Station;University of Cincinnati;University of Illinois Chicago;Indiana University-Bloomington;|Rensselaer Polytechnic Institute;Texas A&M University College Station;University of Cincinnati;University of Illinois Chicago;
Northeastern University;University of Arizona;Oklahoma State University Stillwater;Pace University;University of Maryland Baltimore County;University of Texas Arlington;University of Texas Dallas;Utah State University;Worcester Polytechnic Institute;University of Illinois Chicago;|Oklahoma State University Stillwater;Pace University;University of Maryland Baltimore County;University of Texas Arlington;University of Texas Dallas;Utah State University;Worcester Polytechnic Institute;
|
|
Arizona State University;SUNY Buffalo;Syracuse University;University of Arizona;Carnegie Mellon University;University of Cincinnati;University of Illinois Chicago;|Arizona State University;SUNY Buffalo;Syracuse University;University of Arizona;
Oklahoma City University;Florida State University;|
University of Arizona;University of Illinois Chicago;|
Santa Clara University;|
University of Illinois Chicago;SUNY Buffalo;Syracuse University;University of Cincinnati;Texas A&M University College Station;|SUNY Buffalo;Syracuse University;University of Cincinnati;
Oklahoma State University Stillwater;University of Nebraska Omaha;University of South Florida;University of Texas Dallas;|Oklahoma State University Stillwater;University of Nebraska Omaha;University of South Florida;University of Texas Dallas;
Northeastern University;|
|
University of Arizona;University of Cincinnati;University of Illinois Chicago;Rensselaer Polytechnic Institute;|University of Arizona;University of Cincinnati;University of Illinois Chicago;
|
|
Georgia State University;University of Illinois Chicago;Oklahoma State University Stillwater;University of Missouri Rolla;University of Texas Dallas;University of Arkansas Fayetteville;University of Cincinnati;|Oklahoma State University Stillwater;University of Missouri Rolla;University of Texas Dallas;
|
Indiana University-Bloomington;Texas A&M University College Station;University of Cincinnati;|
George Washington University-Virginia Campus;Georgia Institute of Technology;University of Dallas;University of Maryland College Park;University of Texas Dallas;|
|
University of Cincinnati;University of Florida;University of Arizona;University of Illinois Chicago;Indiana University-Bloomington;Texas A&M University College Station;|University of Arizona;University of Illinois Chicago;
Indiana University-Bloomington;University of Arizona;University of Cincinnati;University of Illinois Chicago;|
University of Maryland College Park;University of Nebraska Omaha;University of South Florida;First ;University of Texas Dallas;University of Utah;Northeastern University;|University of Maryland College Park;University of Nebraska Omaha;University of South Florida;First ;University of Texas Dallas;University of Utah;
Illinois Institute of Technology;University of Illinois Chicago;University of Illinois Urbana-Champaign;|
Carnegie Mellon University;Duke University;University of Illinois Urbana-Champaign;University of Michigan Ann Arbor;University of Texas Austin;|
|
University of Florida;University of South Florida;University of Texas Dallas;Syracuse University;Texas A&M University College Station;University of Illinois Chicago;University of Maryland College Park;|University of Florida;University of South Florida;University of Texas Dallas;
|
|
Georgia State University;SUNY College at Buffalo (Buffalo State College);University of Illinois Chicago;University of Washington;University of Arizona;University of Cincinnati;|University of Arizona;
Carnegie Mellon University;Georgia State University;SUNY Buffalo;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;University of South Florida;|
Carnegie Mellon University;Indiana University-Bloomington;SUNY Buffalo;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;|Carnegie Mellon University;Indiana University-Bloomington;SUNY Buffalo;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;
University of Texas Dallas;Illinois State University;Northeastern University;New York University;;|Illinois State University;Northeastern University;
Northeastern University;Oklahoma State University Stillwater;SUNY Buffalo;Texas A&M University College Station;University of Cincinnati;University of Illinois Chicago;University of South Florida;University of Texas Dallas;|
Oklahoma State University Stillwater;Syracuse University;University of Illinois Chicago;University of South Florida;University of Texas Dallas;Rensselaer Polytechnic Institute;University of Arizona;University of Cincinnati;|Oklahoma State University Stillwater;Syracuse University;University of Illinois Chicago;University of South Florida;University of Texas Dallas;
Carnegie Mellon University;SUNY Buffalo;Application complete by 3rd Feb...;Syracuse University;Texas A&M University College Station;Last recommendation submitted on Feb 3rd.. ;University of Cincinnati;University of Illinois Chicago;New York University;University of Arizona;|Carnegie Mellon University;SUNY Buffalo;Application complete by 3rd Feb...;Syracuse University;Texas A&M University College Station;Last recommendation submitted on Feb 3rd.. ;University of Cincinnati;University of Illinois Chicago;
|
Texas A&M University College Station;|
New York University;SUNY Buffalo;SUNY Stony Brook;|
Northeastern University;University of Arizona;University of Illinois Chicago;University of Texas Dallas;|
New Jersey Institute of Technology;|New Jersey Institute of Technology;
University of Arizona;University of Texas Dallas;|
Drexel University;Pennsylvania State University Harrisburg;Rochester Institute of Technology;|Pennsylvania State University Harrisburg;Rochester Institute of Technology;
Northeastern University;Oklahoma State University Stillwater;SUNY Buffalo;University of Florida;University of Illinois Chicago;University of Texas Dallas;|
|
|
|
Syracuse University;University of Arizona;University of Florida;Oklahoma State University Stillwater;Georgia State University;|Oklahoma State University Stillwater;
|
University of Florida;University of Texas Dallas;Carnegie Mellon University;University of Arizona;University of Cincinnati;Indiana University-Bloomington;|Carnegie Mellon University;University of Arizona;University of Cincinnati;
|
|
|
|
|
Syracuse University;|
|
|
|
Syracuse University;University of Dallas;University of Maryland College Park;Oklahoma State University Stillwater;Texas A&M University College Station;University of Florida;University of Illinois Chicago;University of South Florida;|Oklahoma State University Stillwater;Texas A&M University College Station;University of Florida;University of Illinois Chicago;University of South Florida;
SUNY Buffalo;University of Arizona;University of Florida;University of Illinois Chicago;University of Maryland College Park;University of South Florida;Carnegie Mellon University;Indiana University-Bloomington;|SUNY Buffalo;University of Arizona;University of Florida;University of Illinois Chicago;University of Maryland College Park;University of South Florida;
|
|
Georgia State University;Oklahoma State University Stillwater;University of Florida;University of Texas Dallas;University of Arizona;University of Illinois Chicago;|Georgia State University;Oklahoma State University Stillwater;University of Florida;University of Texas Dallas;
Illinois Institute of Technology;University of Houston Clear Lake;University of Houston main campus;University of North Carolina Charlotte;University of Texas Dallas;|
|
|
Colorado State University;University of Cincinnati;Arizona State University;North Carolina State University;Ist result-;University of Maryland Baltimore County;University of Texas Dallas;|Arizona State University;
University of Cincinnati;Illinois Institute of Technology;University of Illinois Chicago;University of Texas Dallas;Oklahoma State University Stillwater;|Illinois Institute of Technology;University of Illinois Chicago;University of Texas Dallas;
|
|
Carnegie Mellon University;University of Maryland College Park;|
George Mason University;New Jersey Institute of Technology;New York University;Northwestern University;Rensselaer Polytechnic Institute;Rutgers University New Brunswick/Piscataway;University of Pittsburgh Bradford;University of Texas Dallas;University of Florida;|University of Florida;
Carnegie Mellon University;University of Arizona;University of Washington;University of Cincinnati;Interview on 08/02/2012. Awaiting decision. Got ;University of Illinois Chicago;;Texas A&M University College Station;|University of Cincinnati;Interview on 08/02/2012. Awaiting decision. Got ;University of Illinois Chicago;;
|
"Illinois Institute of Technology;University of South Florida;University of Texas Dallas;1st admit| yaaaayyyyy.... :)) Application completed 18th December| 2012. Package reached 7th January| 2013. ;"|"Illinois Institute of Technology;University of South Florida;University of Texas Dallas;1st admit| yaaaayyyyy.... :)) Application completed 18th December| 2012. Package reached 7th January| 2013. ;"
|
University of Arizona;Carnegie Mellon University;New York University;|University of Arizona;
Florida Institute of Technology;SUNY Buffalo;Syracuse University;University of Florida;|
Oklahoma State University Stillwater;University of Texas Dallas;Illinois Institute of Technology;Northeastern University;Texas Tech University;Arizona State University;|Illinois Institute of Technology;Northeastern University;Texas Tech University;
Oklahoma State University Stillwater;Syracuse University;University of Illinois Chicago;University of Maryland College Park;University of Michigan Ann Arbor;University of Texas Dallas;University of Arizona;University of Cincinnati;|Oklahoma State University Stillwater;Syracuse University;University of Illinois Chicago;University of Maryland College Park;University of Michigan Ann Arbor;University of Texas Dallas;
|
Oklahoma State University Stillwater;SUNY Buffalo;Texas A&M University College Station;Texas Tech University;University of South Florida;University of Texas Dallas;|Oklahoma State University Stillwater;SUNY Buffalo;Texas A&M University College Station;Texas Tech University;University of South Florida;University of Texas Dallas;
University of Southern California;Carnegie Mellon University;New York University;University of Arizona;Columbia University;Duke University;Indiana University-Bloomington;University of Cincinnati;|Carnegie Mellon University;New York University;University of Arizona;
New York University;SUNY Buffalo;Syracuse University;|New York University;SUNY Buffalo;Syracuse University;
Carnegie Mellon University;University of Arizona;University of Illinois Chicago;Indiana University-Bloomington;Texas A&M University College Station;University of Cincinnati;|Indiana University-Bloomington;Texas A&M University College Station;University of Cincinnati;
Carnegie Mellon University;Indiana University-Bloomington;New York University;Northwestern University;University of California Berkeley;|
|
|
University of Arizona;Carnegie Mellon University;Indiana University-Bloomington;University of South Florida;University of Texas Dallas;|Carnegie Mellon University;Indiana University-Bloomington;University of South Florida;University of Texas Dallas;
University of Arizona;SUNY Buffalo;University of Illinois Chicago;University of South Florida;Carnegie Mellon University;University of Maryland College Park;|SUNY Buffalo;University of Illinois Chicago;University of South Florida;
|
Carnegie Mellon University;Indiana University-Bloomington;University of Maryland College Park;|Carnegie Mellon University;Indiana University-Bloomington;University of Maryland College Park;
George Washington University Virginia Campus;Northeastern University;Polytechnic University of New York;Rutgers University Newark;SUNY Buffalo;University of Illinois Chicago;University of Maryland College Park;Carnegie Mellon University;New York University;Syracuse University;|George Washington University Virginia Campus;Northeastern University;Polytechnic University of New York;Rutgers University Newark;SUNY Buffalo;University of Illinois Chicago;University of Maryland College Park;
San Jose State University;University of Florida;University of Southern California;Georgia State University;Applied 8/18; Packets reached 8/22; ;Iowa State University;Applied 8/18; packets reached 08/22; ;Oklahoma State University Stillwater;Applied July 27th;Packets Reached 1st Aug; ;|Georgia State University;Applied 8/18; Packets reached 8/22; ;Iowa State University;Applied 8/18; packets reached 08/22; ;Oklahoma State University Stillwater;Applied July 27th;Packets Reached 1st Aug; ;
Illinois State University;New Jersey Institute of Technology;Rochester Institute of Technology;Stevens Institute of Technology;University of Houston Clear Lake;University of Illinois Springfield;University of Maryland Baltimore County;University of Nebraska Omaha;University of North Texas;|
|
Indiana University-Bloomington;Rensselaer Polytechnic Institute;Carnegie Mellon University;New York University;Syracuse University;|Carnegie Mellon University;New York University;Syracuse University;
SUNY Buffalo;University of Arizona;University of Maryland College Park;University of South Florida;Syracuse University;University of Florida;1st ;|Syracuse University;University of Florida;1st ;
New York University;Texas A&M University College Station;My Dream one ! Much Awaited ! Applied on Dec 2 ...WES Eval Acknowledged on Jan2...;University of Arizona;Applied on Dec 18...;University of Cincinnati;My first one ! Applied in round 1...had my interview on Jan 11 and ;Carnegie Mellon University;|Texas A&M University College Station;My Dream one ! Much Awaited ! Applied on Dec 2 ...WES Eval Acknowledged on Jan2...;University of Arizona;Applied on Dec 18...;University of Cincinnati;My first one ! Applied in round 1...had my interview on Jan 11 and ;
Carnegie Mellon University;Indiana University-Bloomington;New York University;Texas A&M University College Station;University of Arizona;|
|
|
|
|
|
|
Carnegie Mellon University;Georgia Institute of Technology;New York University;University of Maryland College Park;University of Southern California;Texas A&M University College Station;University of Michigan Ann Arbor;|Texas A&M University College Station;University of Michigan Ann Arbor;
New York University;Santa Clara University;Syracuse University;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;University of Texas Dallas;|
Georgia State University;Indiana University-Bloomington;Texas A&M University College Station;University of Arizona;University of Illinois Chicago;|
|
University of Cincinnati;Syracuse University;University of Illinois Chicago;Indiana University-Bloomington;|Syracuse University;University of Illinois Chicago;
|
New York University;Rensselaer Polytechnic Institute;Online app submitted on 15th Dec'11. Packets reached 3rd Jan'12.;University of Cincinnati;Applied on 9th Nov'11. ;Indiana University-Bloomington;Applied on 9th Nov'11. ;|Rensselaer Polytechnic Institute;Online app submitted on 15th Dec'11. Packets reached 3rd Jan'12.;University of Cincinnati;Applied on 9th Nov'11. ;
|
|
|
Northeastern University;|Northeastern University;
|
George Mason University;New Jersey Institute of Technology;University of North Carolina Charlotte;University of Texas San Antonio;University of Connecticut;;|University of Connecticut;;
George Washington University Virginia Campus;New York University;Northeastern University;University of Texas Dallas;|Northeastern University;University of Texas Dallas;
|
Pennsylvania State University University Park (main campus);|
California Maritime Academy;City University of New York City College;Colgate University;Columbia University;Cornell University;New York University;Rensselaer Polytechnic Institute;Syracuse University;|
Carnegie Mellon University;Indiana University-Bloomington;Rensselaer Polytechnic Institute;University of Arizona;University of Cincinnati;University of Washington;|Carnegie Mellon University;Indiana University-Bloomington;Rensselaer Polytechnic Institute;University of Arizona;University of Cincinnati;University of Washington;
|
|
New Jersey Institute of Technology;San Jose State University;Santa Clara University;SUNY Buffalo;Syracuse University;University of Dallas;|
|
Illinois Institute of Technology;Northeastern University;|
|
Duke University;Carnegie Mellon University;Texas A&M University College Station;University of Cincinnati;Indiana University-Bloomington;|Carnegie Mellon University;Texas A&M University College Station;University of Cincinnati;
Carnegie Mellon University;Texas A&M University College Station;University of Colorado Boulder;University of Illinois Chicago;University of Texas Dallas;|
|
University of Delaware;University of Maryland Baltimore County;New York University;Rensselaer Polytechnic Institute;SUNY Buffalo;University of Illinois Urbana-Champaign;|University of Delaware;University of Maryland Baltimore County;
Florida Institute of Technology;Florida International University;Stevens Institute of Technology;Western Kentucky University;|
University of Illinois Chicago;|
|
Rochester Institute of Technology;SUNY Buffalo;University of Arizona;University of Maryland College Park;University of Texas Dallas;|
George Mason University;New York University;Oklahoma State University Stillwater;Rochester Institute of Technology;Santa Clara University;Syracuse University;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;University of Maryland College Park;University of South Florida;University of Texas Dallas;Worcester Polytechnic Institute;|
Syracuse University;Application submitted on 18th Jan. Packet reached on 31st Jan. ;University of Cincinnati;Application submitted on 18th Jan. Packet reached on 28th Jan. Interviewed on 21st Feb. ;University of Illinois Chicago;Application submitted on 18th Jan. Packet sent on 31st Jan. ;Carnegie Mellon University;Indiana University-Bloomington;|Syracuse University;Application submitted on 18th Jan. Packet reached on 31st Jan. ;University of Cincinnati;Application submitted on 18th Jan. Packet reached on 28th Jan. Interviewed on 21st Feb. ;University of Illinois Chicago;Application submitted on 18th Jan. Packet sent on 31st Jan. ;
Chicago State University;Illinois Institute of Technology;Illinois State University;Northern Illinois University;University of Chicago;University of Illinois Chicago;|
University of South Florida;University of Tampa;|
|
Wayne State University;|
Carnegie Mellon University;New York University;Final ;Syracuse University;Texas A&M University College Station;University of Arizona;Applied on 15th Jan. ;University of Illinois Chicago;|Carnegie Mellon University;New York University;Final ;Syracuse University;Texas A&M University College Station;University of Arizona;Applied on 15th Jan. ;University of Illinois Chicago;
|
Carnegie Mellon University;University of Cincinnati;Submitted application on 14th November...;University of Illinois Chicago;University of South Florida;Indiana University-Bloomington;Submitted application on 14th November..Called for an information Session on 8th of Deccember. ;Texas A&M University College Station;Submitted application on 10th December. WES reported on 14th December.. ;|University of Cincinnati;Submitted application on 14th November...;University of Illinois Chicago;University of South Florida;
University of Texas Austin;Carnegie Mellon University;;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;Indiana University-Bloomington;Stanford University;|Carnegie Mellon University;;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;
Indiana University-Bloomington;University of Indianapolis;|
|
Carnegie Mellon University;Texas A&M University College Station;University of Arizona;Indiana University-Bloomington;New York University;|Carnegie Mellon University;Texas A&M University College Station;University of Arizona;
|
|
"Indiana University-Bloomington;Texas A&M University College Station;;University of Cincinnati;Applied 13th November| ;"|"Indiana University-Bloomington;Texas A&M University College Station;;University of Cincinnati;Applied 13th November| ;"
"University of Cincinnati;SUNY College at Buffalo (Buffalo State College);App submitted on 1st week of december. Packets reached 2nd week. Status changed to ""under committee review"" by dec 3rd week. ;Syracuse University;App submitted on 1st week of december. Packets reached 2nd week. ;University of Illinois Chicago;App submitted on last week of Nov. Packets reached on dec 2nd. ;University of South Florida;App submitted on last week of Nov. Packets reached on dec 1st. ;University of Arizona;App submitted on 1st week of december. Packets reached 2nd week. ;"|"SUNY College at Buffalo (Buffalo State College);App submitted on 1st week of december. Packets reached 2nd week. Status changed to ""under committee review"" by dec 3rd week. ;Syracuse University;App submitted on 1st week of december. Packets reached 2nd week. ;University of Illinois Chicago;App submitted on last week of Nov. Packets reached on dec 2nd. ;University of South Florida;App submitted on last week of Nov. Packets reached on dec 1st. ;"
Indiana University-Bloomington;Texas A&M University College Station;University of Arizona;University of Illinois Chicago;|
San Diego State University;San Jose State University;Santa Clara University;University of California Irvine;University of California Riverside;University of California San Diego;University of California San Francisco;University of Southern California;|
Carnegie Mellon University;|
Northeastern University;Oklahoma State University Stillwater;Texas Tech University;University of Washington;George Mason University;University of Arizona;University of Texas Dallas;Worcester Polytechnic Institute;|George Mason University;
University of Florida;|
|
|
|
New York University;SUNY Stony Brook;Syracuse University;Texas A&M University College Station;University of Illinois Chicago;|
|
North Carolina State University;University of North Carolina Charlotte;|
Carnegie Mellon University;SUNY Buffalo;2nd ;Indiana University-Bloomington;Texas A&M University College Station;|Carnegie Mellon University;SUNY Buffalo;2nd ;
Oklahoma State University Stillwater;SUNY Buffalo;|Oklahoma State University Stillwater;
Carnegie Mellon University;New York University;University of California Irvine;University of Arizona;University of Southern California;University of Washington;Georgia Institute of Technology;Stanford University;|University of Arizona;University of Southern California;University of Washington;
|
|
|
Carnegie Mellon University;University of Illinois Chicago;Texas A&M University College Station;|University of Illinois Chicago;
University of Cincinnati;|University of Cincinnati;
|
Florida International University;Oklahoma State University Stillwater;University of Alabama Huntsville;University of Florida;University of North Florida;University of Texas Arlington;Utah State University;|
Carnegie Mellon University;George Washington University at Mount Vernon College;New York University;Rensselaer Polytechnic Institute;Syracuse University;Texas A&M University College Station;University of Illinois Chicago;University of Washington;Worcester Polytechnic Institute;|
Illinois Institute of Technology;Oklahoma State University Stillwater;SUNY Buffalo;Texas Tech University;University of South Florida;University of Texas Arlington;University of Texas Dallas;|
University of Arizona;Oklahoma State University Stillwater;Santa Clara University;Texas Tech University;University of Florida;University of Illinois Chicago;University of Texas Dallas;Texas A&M University College Station;|Oklahoma State University Stillwater;Santa Clara University;Texas Tech University;University of Florida;University of Illinois Chicago;University of Texas Dallas;
Carnegie Mellon University;Indiana University-Bloomington;University of Arizona;|Indiana University-Bloomington;University of Arizona;
|
George Mason University;Virginia State University;|
|
Purdue University;Illinois Institute of Technology;Illinois State University;New Jersey Institute of Technology;|Illinois Institute of Technology;Illinois State University;New Jersey Institute of Technology;
Carnegie Mellon University;Indiana University-Bloomington;New York University;Texas A&M University College Station;University of Cincinnati;University of Arizona;University of Illinois Chicago;|University of Arizona;University of Illinois Chicago;
Pennsylvania State University University Park (main campus);SUNY Buffalo;Texas A&M University College Station;University of Missouri Rolla;|SUNY Buffalo;Texas A&M University College Station;University of Missouri Rolla;
|
New York University;Syracuse University;Texas A&M University College Station;|
|
Carnegie Mellon University;App submitted 29th Nov 2011. ;New York University;App submitted 19th Dec 2011. ;Syracuse University;App submitted 30th Nov 2011. ;Texas A&M University College Station;App submitted 21st Nov 2011. ;University of Arizona;App submitted 19th Dec 2011. ;University of California Berkeley;App submitted 6th Jan 2012. ;University of Illinois Chicago;App submitted 30th Nov 2011. ;University of Washington;App submitted 9th Jan 2012. ;Indiana University-Bloomington;App submitted 31st Oct 2011. Interview 26th Dec 2011. On Waitlist. ;|Carnegie Mellon University;App submitted 29th Nov 2011. ;New York University;App submitted 19th Dec 2011. ;Syracuse University;App submitted 30th Nov 2011. ;Texas A&M University College Station;App submitted 21st Nov 2011. ;University of Arizona;App submitted 19th Dec 2011. ;University of California Berkeley;App submitted 6th Jan 2012. ;University of Illinois Chicago;App submitted 30th Nov 2011. ;University of Washington;App submitted 9th Jan 2012. ;
Texas A&M University College Station;|
|
Northeastern University;Oklahoma State University Stillwater;Santa Clara University;Texas Tech University;University of Texas Dallas;SUNY Buffalo;University of Nebraska Omaha;|Northeastern University;Oklahoma State University Stillwater;Santa Clara University;Texas Tech University;University of Texas Dallas;
Carnegie Mellon University;|Carnegie Mellon University;
New York University;Syracuse University;University of Southern California;|
Northeastern University;Santa Clara University;SUNY Buffalo;University of Arizona;University of South Florida;University of Texas Dallas;University of Illinois Chicago;|Northeastern University;Santa Clara University;SUNY Buffalo;University of Arizona;University of South Florida;University of Texas Dallas;
Purdue University;University of Illinois Urbana-Champaign;|
|
Oklahoma State University Stillwater;University of Illinois Chicago;University of Illinois Springfield;University of Texas Dallas;Georgia State University;SUNY Buffalo;University of Arizona;|Georgia State University;SUNY Buffalo;University of Arizona;
Stevens Institute of Technology;Texas State University-San Marcos;University of Houston Clear Lake;|
DeVry University-Long Beach;|
|
Carnegie Mellon University;Georgia Institute of Technology;Georgia State University;Indiana University-Bloomington;New York University;SUNY College at Buffalo (Buffalo State College);Syracuse University;University of Arizona;University of Illinois Chicago;University of Illinois Urbana-Champaign;University of Minnesota Twin Cities;|
|
|
New York University;Syracuse University;Texas A&M University College Station;University of Cincinnati;University of Illinois Chicago;University of Maryland College Park;University of Texas Dallas;University of Washington;|
|
Florida State University;San Jose State University;George Mason University;Northeastern University;Syracuse University;University of Arizona;University of South Florida;University of Texas Dallas;ITM Program..Applied on 26th Nov..status updated to admitted on 13th Jan..First ;|George Mason University;Northeastern University;Syracuse University;University of Arizona;University of South Florida;University of Texas Dallas;ITM Program..Applied on 26th Nov..status updated to admitted on 13th Jan..First ;
California State University Chico;California State University Fresno;California State University Long Beach;California State University Los Angeles;San Diego State University;San Francisco State University;San Jose State University;Santa Clara University;University of California Los Angeles;University of Southern California;|
North Carolina State University;SUNY Buffalo;Texas A&M University College Station;University of Illinois Urbana-Champaign;|
|
|
Carnegie Mellon University;Indiana University-Bloomington;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Maryland College Park;University of Washington;New York University;|Carnegie Mellon University;Indiana University-Bloomington;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Maryland College Park;University of Washington;
California State University Los Angeles;University of California Berkeley;University of California Los Angeles;University of California Santa Barbara;University of Southern California;|
|
Northeastern University;Syracuse University;University of Florida;University of Texas Dallas;University of South Florida;University of Washington;;University of Arizona;University of Illinois Chicago;|University of South Florida;University of Washington;;
|
Syracuse University;Texas A&M University West Texas A&M University;University of Arizona;University of Illinois Urbana-Champaign;SUNY College at Buffalo (Buffalo State College);First ;University of Texas Dallas;|SUNY College at Buffalo (Buffalo State College);First ;University of Texas Dallas;
SUNY Buffalo;University of South Florida;University of Texas Dallas;|
|
Texas A&M University College Station;|
Carnegie Mellon University;New York University;Purdue University;Rensselaer Polytechnic Institute;SUNY College at Buffalo (Buffalo State College);Texas A&M University College Station;University of Arizona;University of Cincinnati;|
Carnegie Mellon University;University of Illinois Chicago;Indiana University-Bloomington;Texas A&M University College Station;|University of Illinois Chicago;
|
Pace University;Illinois State University;New Jersey Institute of Technology;Texas Tech University;University of Maryland Baltimore County;Northeastern University;Santa Clara University;University of Cincinnati;|Illinois State University;New Jersey Institute of Technology;Texas Tech University;University of Maryland Baltimore County;
Syracuse University;University of Texas Dallas;SUNY Buffalo;University of Arizona;University of Illinois Chicago;|SUNY Buffalo;University of Arizona;University of Illinois Chicago;
Oklahoma State University Stillwater;Texas A&M University College Station;University of Illinois Chicago;University of Texas Dallas;|
Indiana University-Bloomington;Northeastern University;University of Cincinnati;Texas A&M University College Station;|
Central Missouri State University;Cleveland State University;Illinois State University;Pace University;University of Houston Clear Lake;University of Maryland Baltimore County;|
Northeastern University;SUNY College at Buffalo (Buffalo State College);Syracuse University;University of Maryland College Park;University of South Florida;Yayyieee...First ;|University of South Florida;Yayyieee...First ;
Carnegie Mellon University;|
|
Bentley College;University of Arizona;University of Cincinnati;University of Illinois Chicago;University of Texas Dallas;University of Florida;SUNY Buffalo;|University of Florida;
SUNY Buffalo;submitted on 7th Dec...;Texas A&M University College Station;7th Nov Online Appl Submitted. 11th Nov Applied to WES online. Doc reached on 14th. Got WES Evaluation on 23rd Nov. 24th Nov WES Eval sent to Mays. Finally Mays Appl is complete. !!...;University of Cincinnati;24th Nov Online Appl Submitted.....Interview on 24th Jan......;University of South Florida;Online Appl submitted on 6th Dec... ;|SUNY Buffalo;submitted on 7th Dec...;Texas A&M University College Station;7th Nov Online Appl Submitted. 11th Nov Applied to WES online. Doc reached on 14th. Got WES Evaluation on 23rd Nov. 24th Nov WES Eval sent to Mays. Finally Mays Appl is complete. !!...;University of Cincinnati;24th Nov Online Appl Submitted.....Interview on 24th Jan......;University of South Florida;Online Appl submitted on 6th Dec... ;
University of Cincinnati;University of Florida;SUNY Buffalo;University of South Florida;Yippy My first ;Texas A&M University College Station;|SUNY Buffalo;University of South Florida;Yippy My first ;
|
Syracuse University;University of Illinois Chicago;Northeastern University;[Applied: Jan 25 ;University of Arizona;First ;University of Florida;Third one! [Applied: Jan 25 ;|Northeastern University;[Applied: Jan 25 ;University of Arizona;First ;University of Florida;Third one! [Applied: Jan 25 ;
|
Iowa State University;Oklahoma State University Stillwater;University of Texas Dallas;|Iowa State University;Oklahoma State University Stillwater;University of Texas Dallas;
Carnegie Mellon University;Indiana University-Bloomington;University of Arizona;University of Cincinnati;Texas A&M University College Station;|Carnegie Mellon University;Indiana University-Bloomington;University of Arizona;University of Cincinnati;
Carnegie Mellon University;Indiana University-Bloomington;University of Cincinnati;|Carnegie Mellon University;Indiana University-Bloomington;University of Cincinnati;
Indiana University-Bloomington;Indiana University/Purdue University at Fort Wayne;New Jersey Institute of Technology;New York Institute of Technology;North Carolina State University;University of North Carolina Charlotte;University of North Carolina Greensboro;University of Oklahoma;Washington State University;|
|
Northeastern University;Texas A&M University College Station;University of Arizona;Applied on 7/12/11 ;University of Illinois Chicago;Syracuse University;|Northeastern University;Texas A&M University College Station;University of Arizona;Applied on 7/12/11 ;University of Illinois Chicago;
SUNY Buffalo;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;|
|
Arizona State University;Texas A&M University College Station;University of Chicago;|
Arizona State University;Georgia State University;University of Texas Dallas;|
University of Illinois Chicago;|University of Illinois Chicago;
|
Oklahoma State University Stillwater;University of Arizona;University of Maryland College Park;Worcester Polytechnic Institute;Syracuse University;|Oklahoma State University Stillwater;University of Arizona;University of Maryland College Park;Worcester Polytechnic Institute;
|
Amherst College;|
|
New York University;Rochester Institute of Technology;Syracuse University;University of Florida;University of Illinois Chicago;University of Minnesota Twin Cities;University of Texas Dallas;|
SUNY Buffalo;University of South Florida;University of Texas Dallas;|SUNY Buffalo;University of South Florida;University of Texas Dallas;
|
|
Rensselaer Polytechnic Institute;University of Connecticut;Oklahoma State University Stillwater;University of South Florida;|Oklahoma State University Stillwater;University of South Florida;
|
California State University Sacramento;Claremont Graduate University;DePaul University;Fairleigh Dickinson University;Florida International University;Florida State University;George Mason University;Grand Valley State University;Illinois Institute of Technology;Long Island University C.W. Post Campus;New Jersey Institute of Technology;Northern Illinois University;Polytechnic University of New York;Rensselaer Polytechnic Institute;Syracuse University;University of Florida;University of Illinois Chicago;University of Illinois Springfield;University of Maryland Baltimore County;University of South Florida;University of Wisconsin Oshkosh;Western International University;|
Rice University;University of Illinois Urbana-Champaign;University of Massachusetts Amherst;University of North Carolina Chapel Hill;University of Southern California;|
University of Illinois Chicago;University of South Florida;University of Arizona;|University of Illinois Chicago;University of South Florida;
|
George Washington University at Mount Vernon College;Illinois State University;Loyola University Chicago;University of Illinois Springfield;|
University of Florida;University of South Florida;University of Texas Dallas;;|University of Florida;University of South Florida;University of Texas Dallas;;
|
Northeastern University;|
